OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,OBJECTID_1,GEOID,SUMLEVEL,ST,COUNTY_1,TRACT_1,BLKGRP_1,Total,Only_English,Only_Spanish,Other_Languages,BG_ID_1,Shapearea,Shapelen,Percent_Only_English,Percent_Only_Spanish,Percent_Other_Languages
50,48,201,210400,4,1064,308,1064,707,357,350,187,151,3,9,0,0,7,837,502,335,329,173,145,3,8,0,0,6,308,269,39,482012104004,50,15000US482012104004,150,48,201,210400,4,601,170,431,0,482012104004,7481117.103042,16223.262566,28.28619,71.71381,0
51,48,201,210500,1,1399,486,1399,1317,82,80,55,24,0,1,0,0,2,1005,932,73,71,50,20,0,1,0,0,2,486,432,54,482012105001,51,15000US482012105001,150,48,201,210500,1,1379,198,1181,0,482012105001,6256493.884455,10972.62901,14.358231,85.641769,0
52,48,201,210500,2,1838,653,1838,1425,413,410,67,332,4,4,0,3,3,1291,963,328,326,56,261,4,4,0,1,2,653,560,93,482012105002,52,15000US482012105002,150,48,201,210500,2,1552,594,929,29,482012105002,7093481.763761,11776.857308,38.273196,59.858247,1.868557
53,48,201,210500,3,1645,554,1645,1354,291,287,103,179,2,1,0,2,4,1178,968,210,208,89,114,2,1,0,2,2,554,512,42,482012105003,53,15000US482012105003,150,48,201,210500,3,1418,437,981,0,482012105003,9808644.233281,18322.166695,30.818054,69.181946,0
54,48,201,210600,1,859,323,859,685,174,171,154,11,3,3,0,0,3,632,476,156,153,142,5,3,3,0,0,3,323,295,28,482012106001,54,15000US482012106001,150,48,201,210600,1,597,126,471,0,482012106001,4486969.291387,10223.241216,21.105528,78.894472,0
55,48,201,210600,2,1243,605,1243,881,362,350,310,27,2,10,0,1,12,1011,683,328,319,282,25,2,9,0,1,9,605,519,86,482012106002,55,15000US482012106002,150,48,201,210600,2,1097,566,531,0,482012106002,6103385.293875,12561.053969,51.59526,48.40474,0
56,48,201,210600,3,1714,675,1714,1442,272,260,214,29,3,9,1,4,12,1315,1068,247,237,192,28,3,9,1,4,10,675,635,40,482012106003,56,15000US482012106003,150,48,201,210600,3,1489,460,1001,28,482012106003,6847033.779511,10466.451121,30.893217,67.226326,1.880457
57,48,201,210600,4,1681,656,1681,1370,311,308,257,29,6,14,0,2,3,1251,977,274,271,235,17,5,12,0,2,3,656,588,68,482012106004,57,15000US482012106004,150,48,201,210600,4,2136,546,1544,46,482012106004,7678553.020023,11656.085579,25.561798,72.284644,2.153558
58,48,201,210700,1,733,250,733,573,160,156,25,127,2,1,0,1,4,530,398,132,130,22,104,2,1,0,1,2,250,217,33,482012107001,58,15000US482012107001,150,48,201,210700,1,574,225,342,7,482012107001,3662891.279522,8059.129296,39.198606,59.581882,1.219512
59,48,201,210700,2,959,330,959,701,258,252,34,215,0,1,2,0,6,662,465,197,194,25,166,0,1,2,0,3,330,292,38,482012107002,59,15000US482012107002,150,48,201,210700,2,864,404,448,12,482012107002,5902278.882202,12784.358565,46.759259,51.851852,1.388889
60,48,201,210700,3,793,285,793,617,176,175,26,147,1,1,0,0,1,569,425,144,143,23,118,1,1,0,0,1,285,245,40,482012107003,60,15000US482012107003,150,48,201,210700,3,399,78,321,0,482012107003,2614396.699586,6882.941052,19.548872,80.451128,0
61,48,201,210800,1,1382,556,1382,730,652,649,36,608,0,0,0,5,3,954,434,520,517,25,491,0,0,0,1,3,556,460,96,482012108001,61,15000US482012108001,150,48,201,210800,1,604,451,153,0,482012108001,32884219.265844,29822.983806,74.668874,25.331126,0
62,48,201,210800,2,1371,550,1371,998,373,364,15,345,3,1,0,0,9,993,679,314,307,12,293,1,1,0,0,7,550,431,119,482012108002,62,15000US482012108002,150,48,201,210800,2,1480,310,1157,13,482012108002,6487762.750528,10938.311889,20.945946,78.175676,0.878378
63,48,201,210900,1,983,438,983,257,726,721,28,672,2,19,0,0,5,760,159,601,598,26,552,2,18,0,0,3,438,351,87,482012109001,63,15000US482012109001,150,48,201,210900,1,1118,719,345,54,482012109001,8177626.188559,12113.13536,64.31127,30.858676,4.830054
64,48,201,210900,2,637,293,637,105,532,532,7,523,1,1,0,0,0,487,62,425,425,5,419,1,0,0,0,0,293,247,46,482012109002,64,15000US482012109002,150,48,201,210900,2,643,518,14,111,482012109002,5418620.672869,9756.575729,80.559876,2.177294,17.26283
65,48,201,211000,1,856,382,856,215,641,634,9,605,1,14,0,5,7,641,133,508,503,7,486,1,6,0,3,5,382,328,54,482012110001,65,15000US482012110001,150,48,201,211000,1,714,564,139,11,482012110001,5416209.638028,10525.051298,78.991597,19.467787,1.540616
66,48,201,211000,2,1183,511,1183,355,828,822,29,782,1,9,0,1,6,886,229,657,653,28,617,1,6,0,1,4,511,449,62,482012110002,66,15000US482012110002,150,48,201,211000,2,662,597,65,0,482012110002,6666462.729344,12851.543963,90.181269,9.818731,0
67,48,201,211100,1,1374,605,1374,467,907,902,21,872,3,0,5,1,5,1017,292,725,723,16,700,3,0,3,1,2,605,499,106,482012111001,67,15000US482012111001,150,48,201,211100,1,1526,881,624,21,482012111001,6892858.916539,14270.238714,57.732634,40.891219,1.376147
68,48,201,211100,2,788,290,788,438,350,346,8,338,0,0,0,0,4,529,272,257,253,7,246,0,0,0,0,4,290,240,50,482012111002,68,15000US482012111002,150,48,201,211100,2,911,352,559,0,482012111002,3307563.089426,7819.59876,38.638858,61.361142,0
69,48,201,211100,3,865,367,865,377,488,481,2,473,0,6,0,0,7,638,237,401,398,2,390,0,6,0,0,3,367,298,69,482012111003,69,15000US482012111003,150,48,201,211100,3,637,437,200,0,482012111003,6240146.978755,16291.792864,68.602826,31.397174,0
70,48,201,211100,4,802,286,802,656,146,144,2,142,0,0,0,0,2,579,466,113,112,2,110,0,0,0,0,1,286,248,38,482012111004,70,15000US482012111004,150,48,201,211100,4,859,303,556,0,482012111004,2675881.957698,6961.304302,35.273574,64.726426,0
71,48,201,211100,5,860,305,860,389,471,464,8,450,5,0,0,1,7,573,230,343,337,8,323,5,0,0,1,6,305,263,42,482012111005,71,15000US482012111005,150,48,201,211100,5,836,539,258,39,482012111005,3017115.048697,9203.531383,64.473684,30.861244,4.665072
72,48,201,211100,6,1315,503,1315,829,486,479,11,457,9,2,0,0,7,887,513,374,367,7,350,8,2,0,0,7,503,406,97,482012111006,72,15000US482012111006,150,48,201,211100,6,1459,892,548,19,482012111006,3557357.018895,7953.734476,61.137766,37.559973,1.302262
73,48,201,211200,1,829,453,829,152,677,673,15,655,1,1,0,1,4,639,97,542,538,11,525,0,1,0,1,4,453,344,109,482012112001,73,15000US482012112001,150,48,201,211200,1,1242,1049,142,51,482012112001,7400523.336128,11035.268153,84.460548,11.433172,4.10628
74,48,201,211200,2,1245,612,1245,330,915,909,5,892,3,7,1,1,6,895,188,707,701,5,688,3,3,1,1,6,612,488,124,482012112002,74,15000US482012112002,150,48,201,211200,2,665,563,73,29,482012112002,7473313.918169,12025.108961,84.661654,10.977444,4.360902
75,48,201,211200,3,757,318,757,469,288,284,9,274,0,1,0,0,4,566,336,230,226,9,216,0,1,0,0,4,318,255,63,482012112003,75,15000US482012112003,150,48,201,211200,3,480,118,362,0,482012112003,3462988.752027,10069.736218,24.583333,75.416667,0
76,48,201,211300,1,766,439,766,177,589,584,26,556,2,0,0,0,5,596,116,480,476,26,448,2,0,0,0,4,439,372,67,482012113001,76,15000US482012113001,150,48,201,211300,1,896,896,0,0,482012113001,4196861.060781,9791.122965,100,0,0
77,48,201,211300,2,1423,603,1423,392,1031,1017,29,987,0,0,0,1,14,872,223,649,641,18,623,0,0,0,0,8,603,488,115,482012113002,77,15000US482012113002,150,48,201,211300,2,1097,741,284,72,482012113002,4515780.320745,8767.820603,67.547858,25.888788,6.563355
78,48,201,211300,3,1003,456,1003,268,735,730,45,680,0,0,0,5,5,762,175,587,584,44,535,0,0,0,5,3,456,335,121,482012113003,78,15000US482012113003,150,48,201,211300,3,1461,1255,190,16,482012113003,5716580.040209,11918.792505,85.900068,13.004791,1.09514
79,48,201,211300,4,1086,525,1086,315,771,768,5,762,0,0,0,1,3,797,204,593,591,4,586,0,0,0,1,2,525,397,128,482012113004,79,15000US482012113004,150,48,201,211300,4,682,480,202,0,482012113004,7769715.797384,14041.590381,70.381232,29.618768,0
80,48,201,211300,5,768,362,768,249,519,512,8,499,1,0,1,3,7,550,150,400,397,8,386,1,0,1,1,3,362,266,96,482012113005,80,15000US482012113005,150,48,201,211300,5,802,631,171,0,482012113005,7333925.858565,13561.029505,78.678304,21.321696,0
81,48,201,211400,1,1088,459,1088,384,704,701,17,671,6,7,0,0,3,760,240,520,517,15,495,4,3,0,0,3,459,378,81,482012114001,81,15000US482012114001,150,48,201,211400,1,806,685,121,0,482012114001,5091151.816829,10273.57392,84.987593,15.012407,0
82,48,201,211400,2,1440,542,1440,339,1101,1096,49,1043,1,3,0,0,5,856,188,668,665,44,617,1,3,0,0,3,542,479,63,482012114002,82,15000US482012114002,150,48,201,211400,2,1468,967,501,0,482012114002,15665939.404974,16355.033665,65.871935,34.128065,0
83,48,201,211400,3,1162,536,1162,587,575,565,222,272,5,60,5,1,10,910,408,502,496,212,224,2,55,2,1,6,536,459,77,482012114003,83,15000US482012114003,150,48,201,211400,3,1258,590,403,265,482012114003,19519418.65977,20916.119634,46.899841,32.034976,21.065183
84,48,201,211500,1,1216,359,1216,1183,33,33,23,10,0,0,0,0,0,840,821,19,19,14,5,0,0,0,0,0,359,322,37,482012115001,84,15000US482012115001,150,48,201,211500,1,1038,29,1009,0,482012115001,25087162.99918,22612.046937,2.793834,97.206166,0
85,48,201,211500,2,2190,687,2190,1862,328,321,84,220,5,9,2,1,7,1509,1256,253,247,65,170,4,5,2,1,6,687,631,56,482012115002,85,15000US482012115002,150,48,201,211500,2,2564,580,1970,14,482012115002,16329424.545319,16988.574869,22.620905,76.833073,0.546022
86,48,201,211500,3,1703,527,1703,1613,90,87,84,2,1,0,0,0,3,1169,1100,69,66,63,2,1,0,0,0,3,527,463,64,482012115003,86,15000US482012115003,150,48,201,211500,3,1733,300,1433,0,482012115003,10302366.469755,15559.786305,17.311021,82.688979,0
87,48,201,211500,4,835,258,835,787,48,48,40,7,0,1,0,0,0,583,543,40,40,34,5,0,1,0,0,0,258,226,32,482012115004,87,15000US482012115004,150,48,201,211500,4,641,156,485,0,482012115004,4162662.513616,13601.868657,24.336973,75.663027,0
88,48,201,211500,5,963,285,963,918,45,45,39,2,0,1,0,3,0,632,598,34,34,30,2,0,1,0,1,0,285,256,29,482012115005,88,15000US482012115005,150,48,201,211500,5,386,81,305,0,482012115005,9237030.552866,17879.475293,20.984456,79.015544,0
89,48,201,211600,1,1139,580,1139,978,161,160,42,116,2,0,0,0,1,824,689,135,134,36,97,1,0,0,0,1,580,361,219,482012116001,89,15000US482012116001,150,48,201,211600,1,1332,516,816,0,482012116001,5309529.87894,9236.848595,38.738739,61.261261,0
90,48,201,211600,2,1672,588,1672,1315,357,353,58,276,9,6,0,4,4,1160,883,277,274,47,211,7,5,0,4,3,588,497,91,482012116002,90,15000US482012116002,150,48,201,211600,2,1597,454,1143,0,482012116002,7222384.206541,10889.840543,28.428303,71.571697,0
91,48,201,211700,1,1511,672,1511,210,1301,1291,8,1281,1,0,1,0,10,1136,127,1009,1001,6,994,0,0,1,0,8,672,593,79,482012117001,91,15000US482012117001,150,48,201,211700,1,1608,1413,56,139,482012117001,15376959.112397,15645.059551,87.873134,3.482587,8.644279
92,48,201,211700,2,1033,370,1033,531,502,490,16,472,0,0,1,1,12,748,351,397,391,13,376,0,0,1,1,6,370,324,46,482012117002,92,15000US482012117002,150,48,201,211700,2,716,516,200,0,482012117002,24463262.979282,27053.360234,72.067039,27.932961,0
93,48,201,211700,3,1342,611,1342,464,878,871,18,834,9,5,0,5,7,968,301,667,662,16,636,5,3,0,2,5,611,491,120,482012117003,93,15000US482012117003,150,48,201,211700,3,805,577,228,0,482012117003,8012058.289047,12424.204206,71.677019,28.322981,0
94,48,201,211900,1,1517,455,1517,1464,53,53,35,14,2,1,0,1,0,1036,994,42,42,30,9,1,1,0,1,0,455,409,46,482012119001,94,15000US482012119001,150,48,201,211900,1,1367,351,1001,15,482012119001,3848533.747533,9281.097877,25.676664,73.226042,1.097293
