OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1,Median_HHI
402,402,48,201,310700,2,2219,839,2219,1672,547,531,476,32,6,16,0,1,16,1645,1149,496,485,435,29,4,16,0,1,11,839,749,90,482013107002,15000US482013107002,482013107002,54955
403,403,48,201,310800,1,1353,504,1353,1297,56,55,22,32,0,1,0,0,1,878,841,37,36,15,20,0,1,0,0,1,504,410,94,482013108001,15000US482013108001,482013108001,23125
404,404,48,201,310800,2,1137,520,1137,1012,125,122,110,8,0,2,0,2,3,769,656,113,112,102,6,0,2,0,2,1,520,336,184,482013108002,15000US482013108002,482013108002,30742
405,405,48,201,310900,1,838,272,838,809,29,29,16,9,0,0,1,3,0,537,519,18,18,13,4,0,0,1,0,0,272,235,37,482013109001,15000US482013109001,482013109001,29167
406,406,48,201,310900,2,1597,521,1597,1528,69,67,46,10,0,10,0,1,2,1088,1024,64,64,44,10,0,9,0,1,0,521,463,58,482013109002,15000US482013109002,482013109002,32679
407,407,48,201,310900,3,1009,488,1009,901,108,102,53,42,2,0,1,4,6,760,657,103,97,50,41,2,0,1,3,6,488,388,100,482013109003,15000US482013109003,482013109003,26777
408,408,48,201,310900,4,907,305,907,880,27,27,12,12,0,3,0,0,0,609,585,24,24,9,12,0,3,0,0,0,305,277,28,482013109004,15000US482013109004,482013109004,37604
409,409,48,201,310900,5,1419,529,1419,1374,45,44,34,5,4,1,0,0,1,1032,988,44,44,34,5,4,1,0,0,0,529,430,99,482013109005,15000US482013109005,482013109005,26304
410,410,48,201,311000,1,1078,392,1078,1059,19,19,12,4,1,1,0,1,0,749,731,18,18,12,4,1,1,0,0,0,392,318,74,482013110001,15000US482013110001,482013110001,25938
411,411,48,201,311000,2,1076,385,1076,1015,61,58,38,6,6,6,0,2,3,776,725,51,49,35,4,3,6,0,1,2,385,335,50,482013110002,15000US482013110002,482013110002,27025
412,412,48,201,311000,3,1588,523,1588,1553,35,35,29,4,0,1,0,1,0,1073,1040,33,33,28,3,0,1,0,1,0,523,468,55,482013110003,15000US482013110003,482013110003,26806
413,413,48,201,311000,4,1442,474,1442,1411,31,29,18,9,1,1,0,0,2,997,972,25,23,16,5,1,1,0,0,2,474,416,58,482013110004,15000US482013110004,482013110004,25234
414,414,48,201,311000,5,1927,700,1927,1875,52,52,36,13,0,0,0,3,0,1399,1350,49,49,34,13,0,0,0,2,0,700,589,111,482013110005,15000US482013110005,482013110005,36042
415,415,48,201,311100,1,1170,449,1170,1145,25,25,19,2,0,4,0,0,0,829,808,21,21,17,2,0,2,0,0,0,449,372,77,482013111001,15000US482013111001,482013111001,34800
416,416,48,201,311100,2,1191,385,1191,1143,48,48,40,5,2,1,0,0,0,822,783,39,39,34,4,0,1,0,0,0,385,342,43,482013111002,15000US482013111002,482013111002,40702
417,417,48,201,311100,3,1589,557,1589,1536,53,48,41,2,2,1,0,2,5,1123,1082,41,39,34,2,2,1,0,0,2,557,492,65,482013111003,15000US482013111003,482013111003,24365
418,418,48,201,311100,4,1936,687,1936,1868,68,62,28,21,3,7,0,3,6,1360,1310,50,46,21,17,2,5,0,1,4,687,589,98,482013111004,15000US482013111004,482013111004,26050
419,419,48,201,311200,1,1736,556,1736,1626,110,102,86,6,1,6,0,3,8,1214,1119,95,91,76,5,1,6,0,3,4,556,505,51,482013112001,15000US482013112001,482013112001,31250
420,420,48,201,311200,2,2004,676,2004,1893,111,109,93,12,1,0,0,3,2,1397,1306,91,91,78,10,1,0,0,2,0,676,616,60,482013112002,15000US482013112002,482013112002,21422
421,421,48,201,311200,3,1168,537,1168,1011,157,157,124,32,0,0,1,0,0,877,738,139,139,106,32,0,0,1,0,0,537,399,138,482013112003,15000US482013112003,482013112003,43295
422,422,48,201,311300,1,1686,546,1686,1582,104,103,80,16,3,4,0,0,1,1211,1121,90,89,70,12,3,4,0,0,1,546,489,57,482013113001,15000US482013113001,482013113001,41573
423,423,48,201,311300,2,1586,471,1586,1486,100,100,75,10,5,7,0,3,0,1102,1012,90,90,71,9,3,7,0,0,0,471,436,35,482013113002,15000US482013113002,482013113002,40592
424,424,48,201,311300,3,1970,570,1970,1861,109,97,82,11,2,2,0,0,12,1302,1197,105,95,80,11,2,2,0,0,10,570,522,48,482013113003,15000US482013113003,482013113003,40250
425,425,48,201,311400,1,1496,572,1496,1275,221,220,48,167,2,3,0,0,1,1026,841,185,184,40,139,2,3,0,0,1,572,470,102,482013114001,15000US482013114001,482013114001,28897
426,426,48,201,311500,1,2067,700,2067,1731,336,334,76,50,1,199,1,7,2,1441,1179,262,260,60,36,1,158,1,4,2,700,618,82,482013115001,15000US482013115001,482013115001,22692
427,427,48,201,311500,2,1337,441,1337,1200,137,134,74,31,0,29,0,0,3,932,806,126,123,68,30,0,25,0,0,3,441,404,37,482013115002,15000US482013115002,482013115002,24798
428,428,48,201,311500,3,2249,644,2249,2150,99,93,84,3,1,5,0,0,6,1564,1479,85,80,72,3,1,4,0,0,5,644,596,48,482013115003,15000US482013115003,482013115003,44109
429,429,48,201,311500,4,1958,572,1958,1885,73,72,61,4,0,3,0,4,1,1390,1321,69,68,57,4,0,3,0,4,1,572,521,51,482013115004,15000US482013115004,482013115004,59091
430,430,48,201,311600,1,1287,447,1287,1213,74,68,15,46,0,5,0,2,6,837,784,53,49,9,36,0,4,0,0,4,447,373,74,482013116001,15000US482013116001,482013116001,22473
431,431,48,201,311600,2,2185,839,2185,2076,109,102,17,78,1,3,0,3,7,1412,1325,87,83,15,62,1,2,0,3,4,839,687,152,482013116002,15000US482013116002,482013116002,28029
432,432,48,201,311600,3,631,213,631,508,123,121,51,66,0,4,0,0,2,442,321,121,119,51,64,0,4,0,0,2,213,160,53,482013116003,15000US482013116003,482013116003,38188
433,433,48,201,311700,1,3085,1127,3085,2380,705,692,137,490,0,62,0,3,13,2117,1560,557,548,122,371,0,54,0,1,9,1127,1010,117,482013117001,15000US482013117001,482013117001,30978
434,434,48,201,311700,2,2508,700,2508,2299,209,197,124,62,2,4,0,5,12,1677,1501,176,169,113,48,2,4,0,2,7,700,658,42,482013117002,15000US482013117002,482013117002,41494
435,435,48,201,311800,1,1456,413,1456,1378,78,78,69,5,0,2,0,2,0,994,928,66,66,58,4,0,2,0,2,0,413,385,28,482013118001,15000US482013118001,482013118001,29464
436,436,48,201,311800,2,1759,541,1759,1627,132,130,93,21,7,2,0,7,2,1203,1090,113,111,87,16,2,1,0,5,2,541,477,64,482013118002,15000US482013118002,482013118002,67684
437,437,48,201,311800,3,1327,399,1327,1265,62,60,39,13,1,7,0,0,2,872,820,52,51,35,9,1,6,0,0,1,399,368,31,482013118003,15000US482013118003,482013118003,31776
438,438,48,201,311900,1,1040,338,1040,941,99,93,61,23,1,8,0,0,6,718,631,87,82,54,19,1,8,0,0,5,338,299,39,482013119001,15000US482013119001,482013119001,62316
439,439,48,201,311900,2,1408,432,1408,1257,151,146,92,29,0,23,0,2,5,989,864,125,120,79,22,0,19,0,0,5,432,398,34,482013119002,15000US482013119002,482013119002,27245
440,440,48,201,312000,1,1444,731,1444,185,1259,1223,520,486,4,210,1,2,36,1364,174,1190,1163,495,457,4,204,1,2,27,731,635,96,482013120001,15000US482013120001,482013120001,23125
441,441,48,201,312000,2,2645,720,2645,214,2431,2376,797,1179,8,380,5,7,55,2527,205,2322,2271,782,1089,8,380,5,7,51,720,632,88,482013120002,15000US482013120002,482013120002,23495
442,442,48,201,312100,1,2725,12,2725,389,2336,2326,924,830,13,476,0,83,10,2706,386,2320,2310,918,820,13,476,0,83,10,12,11,1,482013121001,15000US482013121001,482013121001,
443,443,48,201,312200,1,713,381,713,115,598,594,12,579,0,3,0,0,4,511,63,448,444,10,431,0,3,0,0,4,381,272,109,482013122001,15000US482013122001,482013122001,8449
444,444,48,201,312200,2,683,407,683,183,500,494,25,467,0,2,0,0,6,517,108,409,406,22,382,0,2,0,0,3,407,272,135,482013122002,15000US482013122002,482013122002,17976
445,445,48,201,312200,3,662,404,662,105,557,556,8,543,0,4,0,1,1,509,66,443,443,8,430,0,4,0,1,0,404,268,136,482013122003,15000US482013122003,482013122003,9851
446,446,48,201,312300,1,773,452,773,202,571,565,105,418,0,42,0,0,6,625,134,491,486,104,343,0,39,0,0,5,452,331,121,482013123001,15000US482013123001,482013123001,28274
447,447,48,201,312300,2,1189,690,1189,182,1007,1003,29,964,0,7,1,2,4,928,121,807,805,24,771,0,7,1,2,2,690,514,176,482013123002,15000US482013123002,482013123002,13835
448,448,48,201,312400,1,767,455,767,190,577,573,36,524,0,13,0,0,4,582,120,462,459,36,410,0,13,0,0,3,455,331,124,482013124001,15000US482013124001,482013124001,22250
449,449,48,201,312400,2,657,373,657,59,598,596,22,569,0,5,0,0,2,491,36,455,453,20,428,0,5,0,0,2,373,250,123,482013124002,15000US482013124002,482013124002,9597
450,450,48,201,312400,3,784,523,784,33,751,744,24,710,0,9,0,1,7,625,24,601,596,24,564,0,7,0,1,5,523,373,150,482013124003,15000US482013124003,482013124003,24735
451,451,48,201,312500,1,2499,913,2499,333,2166,2122,1011,888,5,211,0,7,44,2260,281,1979,1949,959,788,5,193,0,4,30,913,860,53,482013125001,15000US482013125001,482013125001,94632
452,452,48,201,312500,2,1736,905,1736,421,1315,1288,683,505,5,91,0,4,27,1604,346,1258,1236,665,473,5,89,0,4,22,905,762,143,482013125002,15000US482013125002,482013125002,46673
453,453,48,201,312600,1,2336,1784,2336,306,2030,1977,1363,298,3,306,1,6,53,2138,260,1878,1836,1290,252,3,287,1,3,42,1784,1425,359,482013126001,15000US482013126001,482013126001,64792
454,454,48,201,312600,2,960,1219,960,136,824,794,326,386,0,82,0,0,30,865,119,746,720,314,330,0,76,0,0,26,1219,564,655,482013126002,15000US482013126002,482013126002,100799
455,455,48,201,312600,3,901,495,901,279,622,612,198,348,3,57,0,6,10,695,187,508,501,159,290,2,48,0,2,7,495,384,111,482013126003,15000US482013126003,482013126003,38940
456,456,48,201,312600,4,1674,789,1674,275,1399,1366,742,516,6,99,1,2,33,1465,206,1259,1238,687,459,6,85,1,0,21,789,658,131,482013126004,15000US482013126004,482013126004,68214
457,457,48,201,312700,1,580,353,580,32,548,546,9,530,0,5,0,2,2,467,28,439,437,8,422,0,5,0,2,2,353,258,95,482013127001,15000US482013127001,482013127001,67500
458,458,48,201,312700,2,822,527,822,64,758,735,32,689,1,12,0,1,23,668,39,629,616,29,573,1,12,0,1,13,527,393,134,482013127002,15000US482013127002,482013127002,39659
459,459,48,201,312700,3,553,329,553,40,513,506,36,465,1,2,0,2,7,461,32,429,424,36,383,1,2,0,2,5,329,269,60,482013127003,15000US482013127003,482013127003,40648
460,460,48,201,312800,1,1364,548,1364,129,1235,1227,10,1215,1,0,1,0,8,895,68,827,819,7,810,1,0,1,0,8,548,493,55,482013128001,15000US482013128001,482013128001,8720
461,461,48,201,312800,2,968,180,968,17,951,940,11,925,2,1,1,0,11,899,10,889,878,11,863,2,1,1,0,11,180,162,18,482013128002,15000US482013128002,482013128002,27608
462,462,48,201,312900,1,2725,1412,2725,119,2606,2574,68,2463,6,28,0,9,32,2327,83,2244,2218,64,2112,6,27,0,9,26,1412,1113,299,482013129001,15000US482013129001,482013129001,14885
463,463,48,201,312900,2,1216,690,1216,50,1166,1152,66,1074,4,7,0,1,14,1022,36,986,974,60,903,3,7,0,1,12,690,570,120,482013129002,15000US482013129002,482013129002,42092
464,464,48,201,313000,1,712,435,712,28,684,654,42,606,0,4,0,2,30,564,23,541,528,42,480,0,4,0,2,13,435,331,104,482013130001,15000US482013130001,482013130001,50833
465,465,48,201,313000,2,909,535,909,98,811,797,90,685,2,18,0,2,14,739,71,668,659,86,553,2,18,0,0,9,535,424,111,482013130002,15000US482013130002,482013130002,41477
466,466,48,201,313000,3,728,491,728,35,693,684,32,637,1,9,0,5,9,607,27,580,576,29,537,1,8,0,1,4,491,363,128,482013130003,15000US482013130003,482013130003,27986
467,467,48,201,313100,1,2789,1514,2789,336,2453,2401,1603,520,3,266,2,7,52,2627,307,2320,2277,1535,478,3,252,2,7,43,1514,1286,228,482013131001,15000US482013131001,482013131001,55344
468,468,48,201,313100,2,567,382,567,55,512,502,242,46,1,208,2,3,10,483,43,440,435,218,40,1,171,2,3,5,382,270,112,482013131002,15000US482013131002,482013131002,64018
469,469,48,201,313200,1,857,488,857,30,827,822,80,713,1,27,1,0,5,711,19,692,687,76,588,1,21,1,0,5,488,378,110,482013132001,15000US482013132001,482013132001,63750
470,470,48,201,313200,2,541,345,541,26,515,509,22,482,0,5,0,0,6,414,13,401,397,16,377,0,4,0,0,4,345,221,124,482013132002,15000US482013132002,482013132002,38190
471,471,48,201,313200,3,1540,814,1540,303,1237,1210,57,1122,10,19,0,2,27,1184,201,983,959,52,884,5,18,0,0,24,814,668,146,482013132003,15000US482013132003,482013132003,34302
472,472,48,201,313200,4,860,424,860,28,832,820,69,742,2,5,0,2,12,720,21,699,691,63,620,2,5,0,1,8,424,365,59,482013132004,15000US482013132004,482013132004,59095
473,473,48,201,313300,1,1172,523,1172,188,984,975,31,939,2,2,0,1,9,841,112,729,724,26,693,2,2,0,1,5,523,445,78,482013133001,15000US482013133001,482013133001,31000
474,474,48,201,313300,2,1482,638,1482,173,1309,1303,44,1257,1,0,0,1,6,1187,114,1073,1067,36,1030,1,0,0,0,6,638,576,62,482013133002,15000US482013133002,482013133002,48438
475,475,48,201,313400,1,1177,509,1177,326,851,838,17,818,0,3,0,0,13,874,210,664,653,16,634,0,3,0,0,11,509,449,60,482013134001,15000US482013134001,482013134001,45575
476,476,48,201,313400,2,1758,930,1758,374,1384,1375,37,1317,8,10,0,3,9,1329,210,1119,1113,29,1067,7,9,0,1,6,930,685,245,482013134002,15000US482013134002,482013134002,32526
477,477,48,201,313500,1,833,334,833,146,687,681,4,672,0,5,0,0,6,627,91,536,530,4,521,0,5,0,0,6,334,295,39,482013135001,15000US482013135001,482013135001,20739
478,478,48,201,313500,2,996,423,996,162,834,827,16,809,0,0,0,2,7,712,103,609,604,15,588,0,0,0,1,5,423,349,74,482013135002,15000US482013135002,482013135002,13724
479,479,48,201,313500,3,672,269,672,182,490,485,6,478,1,0,0,0,5,463,104,359,355,4,350,1,0,0,0,4,269,212,57,482013135003,15000US482013135003,482013135003,59615
480,480,48,201,313600,1,1173,470,1173,478,695,695,33,649,7,3,0,3,0,882,302,580,580,30,543,4,3,0,0,0,470,412,58,482013136001,15000US482013136001,482013136001,26905
481,481,48,201,313600,2,1940,690,1940,166,1774,1749,13,1734,2,0,0,0,25,1217,108,1109,1103,12,1089,2,0,0,0,6,690,619,71,482013136002,15000US482013136002,482013136002,18609
482,482,48,201,313600,3,1718,707,1718,592,1126,1112,28,1065,0,19,0,0,14,1279,377,902,893,26,852,0,15,0,0,9,707,596,111,482013136003,15000US482013136003,482013136003,25820
483,483,48,201,313700,1,953,383,953,23,930,921,8,906,2,3,0,2,9,725,16,709,708,8,694,2,2,0,2,1,383,353,30,482013137001,15000US482013137001,482013137001,21302
484,484,48,201,313700,2,1504,640,1504,169,1335,1323,24,1294,0,5,0,0,12,1188,111,1077,1068,23,1040,0,5,0,0,9,640,576,64,482013137002,15000US482013137002,482013137002,35769
485,485,48,201,313800,1,1235,442,1235,67,1168,1166,11,1140,2,12,0,1,2,630,37,593,591,11,569,1,9,0,1,2,442,399,43,482013138001,15000US482013138001,482013138001,14495
486,486,48,201,313800,2,753,449,753,38,715,710,6,702,2,0,0,0,5,626,25,601,596,6,588,2,0,0,0,5,449,381,68,482013138002,15000US482013138002,482013138002,18532
487,487,48,201,313800,3,678,347,678,225,453,446,8,415,2,7,7,7,7,478,123,355,352,8,324,2,7,7,4,3,347,250,97,482013138003,15000US482013138003,482013138003,25882
488,488,48,201,313800,4,2108,796,2108,137,1971,1948,14,1923,5,3,0,3,23,1368,85,1283,1272,8,1255,3,3,0,3,11,796,742,54,482013138004,15000US482013138004,482013138004,26181
489,489,48,201,313900,1,1943,1181,1943,272,1671,1609,668,651,3,284,2,1,62,1676,214,1462,1415,615,529,3,265,2,1,47,1181,979,202,482013139001,15000US482013139001,482013139001,52174
490,490,48,201,313900,2,1635,1046,1635,158,1477,1433,524,469,1,430,0,9,44,1457,137,1320,1283,475,413,1,387,0,7,37,1046,918,128,482013139002,15000US482013139002,482013139002,41725
491,491,48,201,313900,3,917,657,917,104,813,796,260,333,3,199,0,1,17,835,89,746,732,250,293,3,185,0,1,14,657,571,86,482013139003,15000US482013139003,482013139003,48024
492,492,48,201,314001,1,25,24,25,7,18,17,5,0,0,12,0,0,1,25,7,18,17,5,0,0,12,0,0,1,24,15,9,482013140011,15000US482013140011,482013140011,34314
493,493,48,201,314001,2,668,402,668,53,615,600,224,124,0,252,0,0,15,613,47,566,552,216,104,0,232,0,0,14,402,353,49,482013140012,15000US482013140012,482013140012,22473
494,494,48,201,314001,3,2066,1402,2066,207,1859,1770,705,393,9,658,0,5,89,1879,192,1687,1613,664,349,8,588,0,4,74,1402,1238,164,482013140013,15000US482013140013,482013140013,55156
495,495,48,201,314002,1,1493,903,1493,143,1350,1329,254,533,0,529,1,12,21,1373,130,1243,1224,241,467,0,503,1,12,19,903,824,79,482013140021,15000US482013140021,482013140021,37198
496,496,48,201,314002,2,1029,667,1029,114,915,897,291,156,1,436,4,9,18,947,109,838,821,275,145,0,389,4,8,17,667,537,130,482013140022,15000US482013140022,482013140022,46484
497,497,48,201,314002,3,1217,914,1217,120,1097,1068,506,194,0,368,0,0,29,1095,101,994,971,487,164,0,320,0,0,23,914,767,147,482013140023,15000US482013140023,482013140023,54167
498,498,48,201,314002,4,1155,701,1155,140,1015,999,249,267,1,479,1,2,16,1045,126,919,905,215,246,1,440,1,2,14,701,670,31,482013140024,15000US482013140024,482013140024,23629
499,499,48,201,314002,5,2650,1185,2650,246,2404,2371,548,378,1,1440,2,2,33,2425,232,2193,2163,527,317,0,1315,2,2,30,1185,1127,58,482013140025,15000US482013140025,482013140025,34668
500,500,48,201,314300,1,962,607,962,84,878,866,55,758,2,49,0,2,12,731,61,670,662,51,567,2,41,0,1,8,607,506,101,482013143001,15000US482013143001,482013143001,14804
501,501,48,201,314300,2,1059,615,1059,112,947,939,63,832,1,43,0,0,8,841,79,762,758,55,664,1,38,0,0,4,615,588,27,482013143002,15000US482013143002,482013143002,33712
502,502,48,201,314300,3,1941,1254,1941,196,1745,1723,82,1578,7,54,1,1,22,1543,149,1394,1378,78,1243,7,48,1,1,16,1254,999,255,482013143003,15000US482013143003,482013143003,24556
503,503,48,201,314400,1,1216,1003,1216,125,1091,1049,448,112,0,483,1,5,42,1040,106,934,906,419,104,0,379,1,3,28,1003,699,304,482013144001,15000US482013144001,482013144001,49297
504,504,48,201,314400,2,1877,1324,1877,208,1669,1618,691,117,0,805,1,4,51,1656,186,1470,1429,644,109,0,674,1,1,41,1324,1092,232,482013144002,15000US482013144002,482013144002,41224
505,505,48,201,320100,1,1872,727,1872,1662,210,203,103,88,5,7,0,0,7,1262,1089,173,167,84,72,4,7,0,0,6,727,609,118,482013201001,15000US482013201001,482013201001,32635
506,506,48,201,320100,2,1004,341,1004,863,141,136,63,28,0,45,0,0,5,692,581,111,107,57,19,0,31,0,0,4,341,299,42,482013201002,15000US482013201002,482013201002,38750
507,507,48,201,320200,1,2205,689,2205,2035,170,162,96,53,4,5,0,4,8,1476,1337,139,133,83,41,3,5,0,1,6,689,627,62,482013202001,15000US482013202001,482013202001,31400
508,508,48,201,320200,2,931,326,931,817,114,114,81,27,1,4,0,1,0,566,474,92,92,69,17,1,4,0,1,0,326,267,59,482013202002,15000US482013202002,482013202002,17986
509,509,48,201,320200,3,1284,480,1284,528,756,743,146,23,8,565,0,1,13,964,364,600,589,136,21,7,424,0,1,11,480,421,59,482013202003,15000US482013202003,482013202003,39523
510,510,48,201,320200,4,2242,751,2242,1715,527,520,172,56,3,281,0,8,7,1531,1123,408,402,153,42,2,200,0,5,6,751,671,80,482013202004,15000US482013202004,482013202004,27014
511,511,48,201,320500,1,2413,653,2413,2149,264,261,240,13,5,3,0,0,3,1602,1371,231,230,213,10,4,3,0,0,1,653,618,35,482013205001,15000US482013205001,482013205001,29286
512,512,48,201,320500,2,2205,577,2205,1972,233,221,206,7,3,5,0,0,12,1460,1270,190,183,176,2,2,3,0,0,7,577,545,32,482013205002,15000US482013205002,482013205002,56356
513,513,48,201,320601,1,2638,863,2638,2347,291,284,239,24,0,18,0,3,7,1771,1519,252,248,210,23,0,14,0,1,4,863,777,86,482013206011,15000US482013206011,482013206011,32470
514,514,48,201,320602,1,1401,624,1401,1169,232,225,70,148,0,6,0,1,7,996,791,205,198,64,128,0,6,0,0,7,624,492,132,482013206021,15000US482013206021,482013206021,26813
515,515,48,201,320602,2,1496,409,1496,1379,117,113,100,7,0,6,0,0,4,974,876,98,96,86,5,0,5,0,0,2,409,370,39,482013206022,15000US482013206022,482013206022,38644
516,516,48,201,320602,3,1640,469,1640,1505,135,132,93,15,1,23,0,0,3,1130,1010,120,119,85,14,0,20,0,0,1,469,424,45,482013206023,15000US482013206023,482013206023,25729
517,517,48,201,320700,1,2723,1204,2723,1905,818,804,480,270,6,46,0,2,14,1896,1216,680,669,437,188,6,37,0,1,11,1204,935,269,482013207001,15000US482013207001,482013207001,41932
518,518,48,201,320700,2,1126,418,1126,712,414,408,54,53,1,300,0,0,6,826,503,323,322,51,37,1,233,0,0,1,418,398,20,482013207002,15000US482013207002,482013207002,37976
519,519,48,201,320900,1,1598,907,1598,765,833,822,125,665,2,21,7,2,11,1123,509,614,607,101,477,0,20,7,2,7,907,650,257,482013209001,15000US482013209001,482013209001,25282
520,520,48,201,320900,2,1981,522,1981,1691,290,285,230,40,5,10,0,0,5,1287,1058,229,225,186,25,5,9,0,0,4,522,500,22,482013209002,15000US482013209002,482013209002,41078
521,521,48,201,320900,3,1933,542,1933,1522,411,396,309,47,4,34,0,2,15,1327,988,339,338,271,35,3,28,0,1,1,542,531,11,482013209003,15000US482013209003,482013209003,41250
522,522,48,201,320900,4,1882,515,1882,1509,373,368,290,36,1,39,1,1,5,1303,991,312,309,253,22,1,32,1,0,3,515,497,18,482013209004,15000US482013209004,482013209004,50547
523,523,48,201,321000,1,1304,390,1304,1038,266,264,226,23,0,15,0,0,2,925,685,240,238,208,17,0,13,0,0,2,390,374,16,482013210001,15000US482013210001,482013210001,46842
524,524,48,201,321000,2,977,293,977,717,260,258,204,32,1,20,0,1,2,656,444,212,210,178,17,1,13,0,1,2,293,286,7,482013210002,15000US482013210002,482013210002,38808
525,525,48,201,321000,3,1369,805,1369,923,446,435,113,280,1,41,0,0,11,887,558,329,324,95,201,1,27,0,0,5,805,484,321,482013210003,15000US482013210003,482013210003,35513
526,526,48,201,321000,4,1203,385,1203,978,225,220,165,36,1,18,0,0,5,825,637,188,185,145,25,1,14,0,0,3,385,370,15,482013210004,15000US482013210004,482013210004,29779
527,527,48,201,321000,5,2655,789,2655,2066,589,564,492,42,1,28,0,1,25,1818,1313,505,493,432,33,1,26,0,1,12,789,751,38,482013210005,15000US482013210005,482013210005,48476
528,528,48,201,321100,1,3485,1530,3485,1960,1525,1492,561,647,11,264,5,4,33,2523,1305,1218,1199,479,497,7,209,3,4,19,1530,1399,131,482013211001,15000US482013211001,482013211001,45189
529,529,48,201,321100,2,2934,892,2934,2109,825,807,495,132,4,167,0,9,18,1951,1301,650,639,416,87,2,131,0,3,11,892,854,38,482013211002,15000US482013211002,482013211002,54375
530,530,48,201,321100,3,978,295,978,672,306,299,230,16,1,43,5,4,7,668,428,240,235,190,13,1,25,3,3,5,295,283,12,482013211003,15000US482013211003,482013211003,35852
531,531,48,201,321200,1,1156,352,1156,868,288,276,135,124,0,17,0,0,12,672,491,181,178,106,59,0,13,0,0,3,352,337,15,482013212001,15000US482013212001,482013212001,24263
532,532,48,201,321200,2,1475,425,1475,1320,155,155,144,10,1,0,0,0,0,940,808,132,132,124,7,1,0,0,0,0,425,406,19,482013212002,15000US482013212002,482013212002,26612
533,533,48,201,321300,1,2122,838,2122,1710,412,402,126,249,1,26,0,0,10,1375,1072,303,300,114,164,1,21,0,0,3,838,715,123,482013213001,15000US482013213001,482013213001,35198
534,534,48,201,321300,2,1746,753,1746,1313,433,427,150,264,8,4,0,1,6,1125,842,283,280,111,158,6,4,0,1,3,753,560,193,482013213002,15000US482013213002,482013213002,22768
535,535,48,201,321300,3,1678,560,1678,1207,471,464,412,31,6,15,0,0,7,1232,801,431,425,387,22,3,13,0,0,6,560,503,57,482013213003,15000US482013213003,482013213003,43021
536,536,48,201,321600,3,15,6,15,6,9,9,5,0,0,4,0,0,0,12,3,9,9,5,0,0,4,0,0,0,6,6,0,482013216003,15000US482013216003,482013216003,35893
537,537,48,201,321700,1,1452,513,1452,962,490,488,470,10,0,7,1,0,2,1052,610,442,440,427,8,0,4,1,0,2,513,491,22,482013217001,15000US482013217001,482013217001,60600
538,538,48,201,321700,2,1597,498,1597,1313,284,276,238,15,4,12,0,7,8,1098,839,259,254,222,14,4,9,0,5,5,498,463,35,482013217002,15000US482013217002,482013217002,49123
539,539,48,201,321800,1,1943,531,1943,1725,218,217,185,27,2,3,0,0,1,1292,1103,189,189,169,16,1,3,0,0,0,531,500,31,482013218001,15000US482013218001,482013218001,38423
540,540,48,201,321800,2,2165,625,2165,1889,276,272,231,22,2,12,0,5,4,1485,1243,242,241,211,16,1,9,0,4,1,625,600,25,482013218002,15000US482013218002,482013218002,41458
541,541,48,201,324000,2,243,84,243,127,116,116,70,6,0,40,0,0,0,187,93,94,94,63,5,0,26,0,0,0,84,76,8,482013240002,15000US482013240002,482013240002,81362
542,542,48,201,324100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482013241002,15000US482013241002,482013241002,20375
543,543,48,201,324100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482013241003,15000US482013241003,482013241003,38750
544,544,48,201,324200,1,1647,471,1647,1550,97,96,58,24,7,7,0,0,1,1101,1031,70,70,49,11,4,6,0,0,0,471,437,34,482013242001,15000US482013242001,482013242001,32961
545,545,48,201,330100,1,1359,381,1359,803,556,543,13,507,0,21,0,2,13,947,529,418,411,12,379,0,19,0,1,7,381,368,13,482013301001,15000US482013301001,482013301001,27254
546,546,48,201,330100,2,1706,490,1706,935,771,766,18,725,0,19,0,4,5,1177,617,560,556,14,521,0,19,0,2,4,490,477,13,482013301002,15000US482013301002,482013301002,32438
547,547,48,201,330100,3,2674,649,2674,1678,996,979,16,946,0,16,0,1,17,1701,1043,658,653,12,625,0,15,0,1,5,649,631,18,482013301003,15000US482013301003,482013301003,28446
548,548,48,201,330100,4,2574,812,2574,1328,1246,1243,41,1169,1,25,0,7,3,1783,816,967,966,36,902,1,24,0,3,1,812,752,60,482013301004,15000US482013301004,482013301004,40212
549,549,48,201,330200,1,2388,703,2388,1261,1127,1118,77,1006,4,28,0,3,9,1610,771,839,836,61,744,4,26,0,1,3,703,656,47,482013302001,15000US482013302001,482013302001,44274
