OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1,Median_HHI
833,833,48,201,420200,1,1372,579,1372,505,867,833,550,117,3,157,1,5,34,1098,365,733,709,478,94,2,131,1,3,24,579,537,42,482014202001,15000US482014202001,482014202001,44415
834,834,48,201,420200,2,1175,397,1175,686,489,453,232,102,1,114,0,4,36,847,445,402,381,204,77,1,97,0,2,21,397,381,16,482014202002,15000US482014202002,482014202002,59125
835,835,48,201,420300,1,1503,869,1503,219,1284,1252,649,517,2,79,1,4,32,1259,173,1086,1064,536,450,2,73,1,2,22,869,800,69,482014203001,15000US482014203001,482014203001,63114
836,836,48,201,420300,2,839,365,839,90,749,728,658,27,2,41,0,0,21,667,58,609,597,543,24,2,28,0,0,12,365,352,13,482014203002,15000US482014203002,482014203002,125938
837,837,48,201,420300,3,1069,453,1069,139,930,917,846,28,1,37,1,4,13,840,97,743,736,680,22,1,28,1,4,7,453,441,12,482014203003,15000US482014203003,482014203003,115500
838,838,48,201,420400,1,1084,508,1084,132,952,937,793,52,2,90,0,0,15,893,110,783,772,664,39,2,67,0,0,11,508,487,21,482014204001,15000US482014204001,482014204001,78553
839,839,48,201,420400,2,1453,698,1453,163,1290,1265,1111,63,2,88,0,1,25,1168,107,1061,1043,925,45,2,70,0,1,18,698,660,38,482014204002,15000US482014204002,482014204002,62500
840,840,48,201,420400,3,856,396,856,322,534,519,381,60,0,77,0,1,15,682,220,462,456,334,52,0,69,0,1,6,396,367,29,482014204003,15000US482014204003,482014204003,38125
841,841,48,201,420500,1,894,304,894,714,180,177,49,112,0,12,0,4,3,620,484,136,133,42,79,0,11,0,1,3,304,280,24,482014205001,15000US482014205001,482014205001,28417
842,842,48,201,420500,2,1848,571,1848,1388,460,456,60,384,2,10,0,0,4,1192,827,365,365,53,302,2,8,0,0,0,571,533,38,482014205002,15000US482014205002,482014205002,20532
843,843,48,201,420500,3,1299,564,1299,854,445,438,21,152,0,264,0,1,7,909,543,366,361,16,119,0,226,0,0,5,564,438,126,482014205003,15000US482014205003,482014205003,15804
844,844,48,201,420600,1,598,349,598,139,459,441,343,67,1,29,0,1,18,495,99,396,388,308,53,1,25,0,1,8,349,305,44,482014206001,15000US482014206001,482014206001,52137
845,845,48,201,420600,2,1634,670,1634,516,1118,1095,869,151,0,74,0,1,23,1226,322,904,889,727,98,0,63,0,1,15,670,635,35,482014206002,15000US482014206002,482014206002,90000
846,846,48,201,420700,1,903,342,903,73,830,811,704,19,0,82,0,6,19,675,51,624,615,540,10,0,61,0,4,9,342,326,16,482014207001,15000US482014207001,482014207001,158795
847,847,48,201,420700,2,590,248,590,46,544,543,493,13,0,37,0,0,1,482,30,452,452,419,7,0,26,0,0,0,248,244,4,482014207002,15000US482014207002,482014207002,178000
848,848,48,201,420700,3,1646,659,1646,156,1490,1470,1270,47,0,145,0,8,20,1248,109,1139,1131,978,34,0,114,0,5,8,659,634,25,482014207003,15000US482014207003,482014207003,100862
849,849,48,201,420800,1,803,321,803,74,729,715,588,28,3,96,0,0,14,630,58,572,568,464,20,3,81,0,0,4,321,304,17,482014208001,15000US482014208001,482014208001,100556
850,850,48,201,420800,2,853,341,853,72,781,768,620,2,0,145,0,1,13,677,50,627,622,512,2,0,107,0,1,5,341,331,10,482014208002,15000US482014208002,482014208002,151442
851,851,48,201,420800,3,856,338,856,48,808,798,646,5,5,142,0,0,10,672,33,639,635,520,3,3,109,0,0,4,338,330,8,482014208003,15000US482014208003,482014208003,165882
852,852,48,201,421101,1,758,504,758,159,599,589,382,94,1,112,0,0,10,688,144,544,535,350,89,1,95,0,0,9,504,472,32,482014211011,15000US482014211011,482014211011,65417
853,853,48,201,421101,2,2971,1231,2971,2117,854,830,213,436,2,179,0,0,24,2068,1370,698,677,178,344,2,153,0,0,21,1231,1162,69,482014211012,15000US482014211012,482014211012,26793
854,854,48,201,421102,1,2674,1205,2674,2392,282,272,83,170,3,11,0,5,10,1798,1573,225,218,57,143,3,11,0,4,7,1205,915,290,482014211021,15000US482014211021,482014211021,23787
855,855,48,201,421102,2,1345,736,1345,341,1004,982,113,496,3,362,0,8,22,1129,265,864,848,104,396,1,341,0,6,16,736,603,133,482014211022,15000US482014211022,482014211022,41970
856,856,48,201,421102,3,1525,360,1525,1460,65,65,26,25,0,11,0,3,0,913,866,47,47,19,17,0,11,0,0,0,360,319,41,482014211023,15000US482014211023,482014211023,26127
857,857,48,201,421201,1,2078,964,2078,1633,445,430,110,246,1,65,0,8,15,1581,1186,395,384,104,214,0,62,0,4,11,964,887,77,482014212011,15000US482014212011,482014212011,22727
858,858,48,201,421201,2,1777,740,1777,1329,448,445,54,307,0,83,0,1,3,1186,848,338,335,50,222,0,62,0,1,3,740,614,126,482014212012,15000US482014212012,482014212012,29185
859,859,48,201,421201,3,544,187,544,537,7,7,6,1,0,0,0,0,0,370,368,2,2,1,1,0,0,0,0,0,187,161,26,482014212013,15000US482014212013,482014212013,16314
860,860,48,201,421202,1,1665,694,1665,1389,276,264,41,179,0,44,0,0,12,1051,874,177,170,33,108,0,29,0,0,7,694,514,180,482014212021,15000US482014212021,482014212021,19923
861,861,48,201,421202,2,2005,761,2005,1929,76,75,26,36,1,7,0,5,1,1405,1351,54,53,19,26,1,5,0,2,1,761,605,156,482014212022,15000US482014212022,482014212022,18232
862,862,48,201,421202,3,475,228,475,394,81,76,11,58,0,7,0,0,5,334,273,61,56,11,38,0,7,0,0,5,228,174,54,482014212023,15000US482014212023,482014212023,30093
863,863,48,201,421300,1,2282,864,2282,538,1744,1628,403,321,3,896,0,5,116,1570,356,1214,1139,280,246,0,609,0,4,75,864,781,83,482014213001,15000US482014213001,482014213001,32900
864,864,48,201,421300,2,2631,1171,2631,2283,348,333,110,198,0,24,0,1,15,1910,1609,301,289,93,173,0,22,0,1,12,1171,984,187,482014213002,15000US482014213002,482014213002,28841
865,865,48,201,421300,3,1722,530,1722,931,791,759,204,211,5,335,0,4,32,1131,577,554,536,153,146,4,230,0,3,18,530,490,40,482014213003,15000US482014213003,482014213003,25662
866,866,48,201,421401,1,1390,605,1390,1256,134,131,35,77,1,16,0,2,3,882,788,94,92,29,50,0,12,0,1,2,605,418,187,482014214011,15000US482014214011,482014214011,20581
867,867,48,201,421401,2,2236,769,2236,1864,372,362,43,113,2,198,0,6,10,1576,1297,279,273,32,69,2,168,0,2,6,769,675,94,482014214012,15000US482014214012,482014214012,33649
868,868,48,201,421402,1,1879,656,1879,1798,81,79,32,39,0,6,0,2,2,1216,1164,52,52,15,33,0,4,0,0,0,656,524,132,482014214021,15000US482014214021,482014214021,24744
869,869,48,201,421402,2,1561,726,1561,1495,66,64,20,41,0,2,0,1,2,1005,949,56,55,17,35,0,2,0,1,1,726,493,233,482014214022,15000US482014214022,482014214022,20263
870,870,48,201,421403,1,1411,476,1411,1367,44,44,19,17,0,5,0,3,0,984,950,34,34,12,16,0,5,0,1,0,476,414,62,482014214031,15000US482014214031,482014214031,24804
871,871,48,201,421403,2,2153,612,2153,1682,471,451,83,200,0,166,0,2,20,1455,1129,326,309,59,116,0,133,0,1,17,612,570,42,482014214032,15000US482014214032,482014214032,22011
872,872,48,201,421403,3,799,251,799,636,163,162,114,26,0,22,0,0,1,588,441,147,146,108,20,0,18,0,0,1,251,242,9,482014214033,15000US482014214033,482014214033,32100
873,873,48,201,421500,1,1090,425,1090,590,500,490,134,272,3,78,0,3,10,734,380,354,347,97,175,3,70,0,2,7,425,370,55,482014215001,15000US482014215001,482014215001,27639
874,874,48,201,421500,2,2264,832,2264,1867,397,385,158,162,2,61,0,2,12,1573,1256,317,308,132,117,2,55,0,2,9,832,729,103,482014215002,15000US482014215002,482014215002,30455
875,875,48,201,421500,3,1345,597,1345,832,513,493,305,93,3,90,0,2,20,1006,547,459,444,277,86,3,76,0,2,15,597,532,65,482014215003,15000US482014215003,482014215003,33365
876,876,48,201,421500,4,1785,927,1785,483,1302,1275,239,705,1,324,0,6,27,1461,362,1099,1077,217,552,1,302,0,5,22,927,795,132,482014215004,15000US482014215004,482014215004,34849
877,877,48,201,421600,1,1778,561,1778,1560,218,215,65,136,1,11,0,2,3,1134,972,162,159,54,94,1,9,0,1,3,561,480,81,482014216001,15000US482014216001,482014216001,30365
878,878,48,201,421600,2,2158,653,2158,2030,128,119,40,36,0,38,0,5,9,1352,1253,99,94,36,28,0,26,0,4,5,653,574,79,482014216002,15000US482014216002,482014216002,22880
879,879,48,201,421600,3,1453,628,1453,626,827,815,437,36,1,341,0,0,12,1047,425,622,616,343,30,1,242,0,0,6,628,569,59,482014216003,15000US482014216003,482014216003,31417
880,880,48,201,421600,4,1625,513,1625,1488,137,135,34,78,3,7,0,13,2,1029,944,85,84,26,43,1,7,0,7,1,513,399,114,482014216004,15000US482014216004,482014216004,24262
881,881,48,201,421700,1,1547,599,1547,1082,465,453,262,93,4,94,0,0,12,1104,720,384,373,223,69,4,77,0,0,11,599,556,43,482014217001,15000US482014217001,482014217001,29297
882,882,48,201,421700,2,937,367,937,288,649,636,501,14,0,119,0,2,13,712,168,544,538,430,12,0,94,0,2,6,367,349,18,482014217002,15000US482014217002,482014217002,43102
883,883,48,201,421700,3,1202,483,1202,113,1089,1081,843,15,0,220,0,3,8,941,75,866,862,683,9,0,167,0,3,4,483,469,14,482014217003,15000US482014217003,482014217003,105250
884,884,48,201,421700,4,874,447,874,73,801,794,630,30,0,133,0,1,7,723,59,664,661,543,22,0,95,0,1,3,447,427,20,482014217004,15000US482014217004,482014217004,80550
885,885,48,201,421800,1,1422,859,1422,298,1124,1064,588,386,0,83,0,7,60,1152,223,929,892,517,305,0,66,0,4,37,859,754,105,482014218001,15000US482014218001,482014218001,47321
886,886,48,201,421800,2,1220,736,1220,390,830,812,247,518,10,34,0,3,18,907,268,639,624,214,373,9,28,0,0,15,736,590,146,482014218002,15000US482014218002,482014218002,36417
887,887,48,201,421800,3,1136,666,1136,190,946,923,548,237,1,136,0,1,23,915,143,772,756,467,182,1,105,0,1,16,666,578,88,482014218003,15000US482014218003,482014218003,50444
888,888,48,201,421800,4,1227,528,1227,93,1134,1118,893,18,1,204,0,2,16,974,67,907,895,723,11,1,158,0,2,12,528,505,23,482014218004,15000US482014218004,482014218004,85333
889,889,48,201,421900,1,998,409,998,107,891,880,809,25,2,42,0,2,11,756,67,689,684,626,22,2,32,0,2,5,409,394,15,482014219001,15000US482014219001,482014219001,104960
890,890,48,201,421900,2,1037,447,1037,84,953,948,878,17,1,46,0,6,5,810,53,757,754,703,12,1,36,0,2,3,447,430,17,482014219002,15000US482014219002,482014219002,81250
891,891,48,201,421900,3,655,271,655,42,613,609,574,8,0,24,0,3,4,483,31,452,449,425,5,0,16,0,3,3,271,259,12,482014219003,15000US482014219003,482014219003,115000
892,892,48,201,422000,1,683,287,683,64,619,611,544,21,1,45,0,0,8,541,43,498,494,434,17,1,42,0,0,4,287,280,7,482014220001,15000US482014220001,482014220001,102857
893,893,48,201,422000,2,859,369,859,103,756,752,675,37,1,36,0,3,4,680,70,610,608,550,28,1,26,0,3,2,369,352,17,482014220002,15000US482014220002,482014220002,109470
894,894,48,201,422000,3,997,425,997,163,834,813,705,44,5,56,0,3,21,773,113,660,648,572,30,3,42,0,1,12,425,408,17,482014220003,15000US482014220003,482014220003,101806
895,895,48,201,422100,1,1230,583,1230,489,741,727,467,226,1,29,1,3,14,938,304,634,624,419,179,1,22,1,2,10,583,520,63,482014221001,15000US482014221001,482014221001,60219
