"","COUNTY","TRACT","BLKGRP","SUM_POP100","SUM_HU100","SUM_TotPop","SUM_HispPo","SUM_NonHis","SUM_NHOneR","SUM_NH_Whi","SUM_NH_Bla","SUM_NH_AmI","SUM_NH_Asi","SUM_NH_Haw","SUM_NH_Oth","SUM_NH_2or","SUM_VAP_To","SUM_VAP_Hi","SUM_VAP_No","SUM_VAP_NH","SUM_VAP__1","SUM_VAP__2","SUM_VAP__3","SUM_VAP__4","SUM_VAP_Ha","SUM_VAP__5","SUM_VAP__6","SUM_TotHou","SUM_OccHU","SUM_Vacant","Shapearea","Median_HHI","Median_House_Value","Only_English","Only_Spanish","Other_Languages","Percent_Only_English","Percent_Only_Spanish","Percent_Other_Languages","No_HS","HS_Graduate","Some_College","BS_and_Higher","Percent_No_HS","Percent_HS_Graduate","Percent_Some_College","Percent_BS_and_Higher","Vac_Rate"
"423000-2",201,423000,2,929,567,929,545,384,373,43,321,0,9,0,0,11,684,372,312,304,38,257,0,9,0,0,8,567,434,133,10594075.587416,28209,NA,392,347,150,44.094488,39.032621,16.872891,83,301,176,63,13.322632,48.314607,28.250401,10.11236,23.4567901234568
"423000-3",201,423000,3,1753,661,1753,1262,491,482,349,73,4,44,0,12,9,1259,834,425,420,313,55,4,42,0,6,5,661,609,52,4992315.938243,41212,132900,428,1268,165,22.998388,68.135411,8.866201,531,355,130,271,41.258741,27.583528,10.10101,21.056721,7.86686838124054
"423100-1",201,423100,1,773,388,773,242,531,525,29,489,0,5,1,1,6,522,169,353,351,27,320,0,3,1,0,2,388,316,72,15839045.818661,25590,39400,318,208,49,55.304348,36.173913,8.521739,126,119,74,36,35.492958,33.521127,20.84507,10.140845,18.5567010309278
"423100-2",201,423100,2,2388,751,2388,1937,451,445,26,400,1,14,0,4,6,1515,1215,300,298,21,266,0,8,0,3,2,751,697,54,1954649.513232,25290,NA,657,1194,74,34.12987,62.025974,3.844156,539,150,174,281,47.115385,13.111888,15.20979,24.562937,7.19041278295606
"423201-1",201,423201,1,1618,533,1618,702,916,890,376,429,1,81,0,3,26,1210,466,744,723,331,314,1,75,0,2,21,533,516,17,15055248.808488,83594,116100,899,406,27,67.492492,30.48048,2.027027,71,204,384,332,7.16448,20.585267,38.748739,33.501514,3.18949343339587
"423201-2",201,423201,2,1615,538,1615,604,1011,996,352,541,0,96,1,6,15,1160,394,766,757,308,370,0,77,1,1,9,538,507,31,5994398.719658,45673,112900,676,618,47,50.410142,46.085011,3.504847,371,234,178,298,34.320074,21.646623,16.466235,27.567068,5.76208178438662
"423202-1",201,423202,1,2742,1138,2742,1466,1276,1255,161,1067,7,20,0,0,21,1860,960,900,891,120,747,6,18,0,0,9,1138,989,149,3040821.704402,24615,65400,1106,850,285,49.352967,37.929496,12.717537,678,441,346,148,42.033478,27.34036,21.450713,9.175449,13.0931458699473
"423202-2",201,423202,2,2554,1228,2554,888,1666,1624,250,1172,1,197,0,4,42,1858,603,1255,1228,225,840,1,161,0,1,27,1228,1006,222,8866067.199242,44625,117000,1269,1111,396,45.713256,40.021614,14.26513,433,471,586,350,23.532609,25.597826,31.847826,19.021739,18.0781758957655
"423202-3",201,423202,3,1693,742,1693,934,759,748,59,670,1,16,0,2,11,1115,619,496,488,44,429,1,14,0,0,8,742,591,151,3763765.519476,22039,157600,850,403,142,60.9319,28.888889,10.179211,346,215,226,7,43.576826,27.078086,28.463476,0.881612,20.3504043126685
"423301-1",201,423301,1,1255,532,1255,383,872,860,551,249,5,47,1,7,12,976,262,714,705,468,188,5,41,1,2,9,532,510,22,6191768.803416,65962,176900,617,141,137,68.938547,15.75419,15.307263,72,66,166,405,10.155148,9.308886,23.413258,57.122708,4.13533834586466
"423301-2",201,423301,2,1230,740,1230,210,1020,1009,625,294,3,87,0,0,11,986,142,844,839,552,216,1,70,0,0,5,740,512,228,8418806.135063,59018,170300,1109,184,207,73.933333,12.266667,13.8,145,250,209,542,12.652705,21.815009,18.237347,47.294939,30.8108108108108
"423301-3",201,423301,3,1216,780,1216,479,737,726,145,516,0,53,1,11,11,873,302,571,563,131,381,0,47,1,3,8,780,539,241,3435661.071421,25102,153100,598,746,52,42.836676,53.438395,3.724928,336,294,175,52,39.206534,34.305718,20.42007,6.067678,30.8974358974359
"423302-1",201,423302,1,1283,508,1283,192,1091,1080,420,576,1,75,0,8,11,1002,139,863,854,361,429,1,58,0,5,9,508,475,33,6129103.162322,84375,139000,1247,21,336,77.743142,1.309227,20.947631,47,307,265,494,4.222821,27.583109,23.809524,44.384546,6.49606299212598
"423302-2",201,423302,2,1681,994,1681,267,1414,1395,285,1074,2,30,0,4,19,1371,170,1201,1188,260,895,2,27,0,4,13,994,922,72,4874089.982752,22801,145600,1047,58,99,86.960133,4.817276,8.222591,147,321,357,144,15.170279,33.126935,36.842105,14.860681,7.24346076458753
"423302-3",201,423302,3,2159,902,2159,222,1937,1895,311,1399,5,173,0,7,42,1577,161,1416,1387,241,977,3,160,0,6,29,902,843,59,11007640.786385,30429,105900,945,336,90,68.92779,24.507659,6.564551,294,255,187,295,28.516004,24.733269,18.13773,28.612997,6.5410199556541
"423401-1",201,423401,1,2012,793,2012,394,1618,1600,101,1415,0,83,0,1,18,1474,257,1217,1207,87,1040,0,79,0,1,10,793,728,65,6387971.955516,62679,121500,1254,602,121,63.429439,30.450177,6.120384,91,476,288,350,7.551867,39.502075,23.900415,29.045643,8.19672131147541
"423401-2",201,423401,2,1762,683,1762,341,1421,1402,428,907,4,46,9,8,19,1190,201,989,976,271,660,2,39,2,2,13,683,647,36,4284028.037569,36000,136800,1082,44,164,83.875969,3.410853,12.713178,159,167,346,191,18.424102,19.351101,40.0927,22.132097,5.27086383601757
"423401-3",201,423401,3,1379,436,1379,170,1209,1186,344,688,1,149,0,4,23,1016,115,901,887,240,517,1,126,0,3,14,436,424,12,13784133.086875,84607,168500,1168,134,171,79.293958,9.097081,11.608961,81,170,274,445,8.350515,17.525773,28.247423,45.876289,2.75229357798165
"423402-1",201,423402,1,2836,821,2836,644,2192,2172,75,1313,2,781,0,1,20,1990,432,1558,1548,70,863,2,613,0,0,10,821,804,17,11314313.948091,66382,129300,1363,483,724,53.035019,18.793774,28.171206,370,179,723,324,23.182957,11.215539,45.300752,20.300752,2.07064555420219
"423402-2",201,423402,2,1371,538,1371,248,1123,1101,82,965,0,52,0,2,22,1007,154,853,840,80,711,0,49,0,0,13,538,518,20,5194241.208161,52357,101500,839,172,226,67.825384,13.904608,18.270008,82,195,377,304,8.559499,20.354906,39.352818,31.732777,3.71747211895911
"423500-1",201,423500,1,1927,722,1927,404,1523,1495,615,581,1,286,0,12,28,1498,268,1230,1209,532,440,1,232,0,4,21,722,698,24,13394140.220751,73125,139100,1489,271,284,72.847358,13.258317,13.894325,139,255,478,629,9.260493,16.988674,31.845436,41.905396,3.32409972299169
"423600-1",201,423600,1,1226,427,1226,460,766,759,48,630,4,70,0,7,7,822,291,531,526,46,421,3,52,0,4,5,427,398,29,4397295.05449,46406,110300,728,469,244,50.520472,32.546842,16.932686,292,132,122,223,37.971391,17.16515,15.864759,28.9987,6.79156908665105
"423600-2",201,423600,2,615,223,615,158,457,452,43,332,1,75,0,1,5,469,109,360,356,39,252,1,63,0,1,4,223,215,8,3907616.477905,50871,102600,854,570,139,54.638516,36.46833,8.893154,243,329,281,160,23.988154,32.477789,27.739388,15.794669,3.58744394618834
"423600-4",201,423600,4,700,217,700,213,487,484,59,401,2,22,0,0,3,496,141,355,353,47,286,2,18,0,0,2,217,198,19,2325582.288791,58545,110800,1415,962,285,53.155522,36.138242,10.706236,437,208,548,390,27.605812,13.139608,34.617814,24.636766,8.75576036866359
"430100-1",201,430100,1,791,568,791,88,703,696,626,34,0,36,0,0,7,713,71,642,635,574,27,0,34,0,0,7,568,491,77,3359505.76678,53984,161500,932,157,0,85.583104,14.416896,0,33,103,250,443,3.9807,12.424608,30.156815,53.437877,13.556338028169
"430100-2",201,430100,2,1695,804,1695,155,1540,1496,1319,44,0,132,0,1,44,1365,123,1242,1213,1084,29,0,99,0,1,29,804,696,108,28600997.605833,118384,909500,1326,196,134,80.072464,11.835749,8.091787,25,181,190,951,1.855976,13.437268,14.105419,70.601336,13.4328358208955
"430100-3",201,430100,3,1483,933,1483,416,1067,1041,786,100,1,150,0,4,26,1229,320,909,896,684,82,1,125,0,4,13,933,822,111,5505048.316124,53583,747500,743,194,146,68.605725,17.913204,13.481071,56,69,319,321,7.320261,9.019608,41.699346,41.960784,11.8971061093248
"430100-4",201,430100,4,688,385,688,174,514,507,408,27,2,68,0,2,7,537,136,401,397,319,27,1,48,0,2,4,385,334,51,4697750.268671,53536,930600,564,52,43,85.584219,7.890744,6.525038,0,53,71,290,0,12.801932,17.149758,70.048309,13.2467532467532
"430100-5",201,430100,5,1092,774,1092,104,988,975,891,15,0,63,1,5,13,972,72,900,892,825,14,0,48,1,4,8,774,607,167,4589710.616475,52907,133800,845,38,12,94.413408,4.24581,1.340782,93,121,173,472,10.826542,14.086147,20.139697,54.947614,21.5762273901809
"430200-1",201,430200,1,1380,796,1380,256,1124,1107,940,31,4,126,0,6,17,1109,187,922,907,781,25,4,94,0,3,15,796,706,90,7622715.764147,57169,848500,909,179,180,71.687697,14.116719,14.195584,29,145,282,565,2.840353,14.201763,27.61998,55.337904,11.3065326633166
"430700-1",201,430700,1,896,345,896,93,803,789,529,16,3,238,0,3,14,640,66,574,566,396,8,2,159,0,1,8,345,327,18,3969516.500259,98462,235200,283,32,142,61.925602,7.002188,31.07221,8,20,77,180,2.807018,7.017544,27.017544,63.157895,5.21739130434783
"430700-2",201,430700,2,1338,959,1338,183,1155,1139,808,38,5,282,0,6,16,1139,142,997,985,746,30,5,200,0,4,12,959,856,103,9493845.03692,35714,248300,793,132,379,60.812883,10.122699,29.064417,143,301,306,430,12.118644,25.508475,25.932203,36.440678,10.740354535975
"430700-3",201,430700,3,1050,369,1050,34,1016,1014,943,1,1,67,0,2,2,719,19,700,698,653,1,1,43,0,0,2,369,359,10,6013105.783694,153906,567300,1168,96,26,90.542636,7.44186,2.015504,13,39,150,606,1.608911,4.826733,18.564356,75,2.710027100271
"430800-1",201,430800,1,2900,1490,2900,188,2712,2668,2209,45,8,400,5,1,44,2097,122,1975,1941,1600,36,8,292,5,0,34,1490,1138,352,24843203.284167,140577,459300,2008,75,354,82.396389,3.077554,14.526057,9,171,254,1336,0.508475,9.661017,14.350282,75.480226,23.6241610738255
"430800-2",201,430800,2,1448,594,1448,80,1368,1354,1131,3,0,211,5,4,14,1023,52,971,966,823,2,0,134,3,4,5,594,568,26,10786080.952895,111477,347900,923,0,357,72.109375,0,27.890625,0,33,203,642,0,3.758542,23.120729,73.120729,4.37710437710438
"430900-1",201,430900,1,1864,1017,1864,120,1744,1734,1640,4,1,87,0,2,10,1560,94,1466,1458,1382,4,1,69,0,2,8,1017,957,60,11359884.077142,108333,335500,1454,103,121,86.650775,6.13826,7.210965,27,222,285,913,1.86593,15.342087,19.695923,63.096061,5.89970501474926
"430900-2",201,430900,2,730,287,730,40,690,686,627,5,4,48,0,2,4,532,29,503,499,461,2,2,32,0,2,4,287,270,17,5005536.279317,243750,612600,583,26,64,86.627043,3.863299,9.509658,0,75,34,384,0,15.212982,6.896552,77.890467,5.92334494773519
"430900-3",201,430900,3,1433,664,1433,116,1317,1290,1059,10,0,217,1,3,27,1144,78,1066,1048,891,6,0,148,1,2,18,664,637,27,7673253.448561,114750,408200,919,283,109,70.099161,21.586575,8.314264,0,45,421,585,0,4.281637,40.057088,55.661275,4.06626506024096
"430900-4",201,430900,4,1743,799,1743,185,1558,1507,937,27,5,532,0,6,51,1296,142,1154,1114,736,20,3,354,0,1,40,799,742,57,6523789.006323,63672,198500,900,144,688,51.963048,8.314088,39.722864,16,283,184,784,1.262826,22.336227,14.522494,61.878453,7.13391739674593
"431000-1",201,431000,1,1712,959,1712,275,1437,1408,1145,90,6,166,0,1,29,1495,207,1288,1267,1050,74,6,137,0,0,21,959,910,49,9134754.41893,79077,171800,1379,48,133,88.397436,3.076923,8.525641,52,139,369,873,3.628751,9.69993,25.750174,60.921144,5.10948905109489
"431000-2",201,431000,2,964,405,964,59,905,898,838,9,1,45,2,3,7,744,41,703,696,652,7,1,34,2,0,7,405,390,15,8358445.099806,171563,418300,670,13,102,85.350318,1.656051,12.993631,0,34,59,569,0,5.135952,8.912387,85.951662,3.7037037037037
"431000-3",201,431000,3,1390,769,1390,139,1251,1239,1058,61,0,117,0,3,12,1160,112,1048,1043,899,46,0,95,0,3,5,769,646,123,20581130.806367,116125,329400,812,264,309,58.628159,19.061372,22.310469,20,44,133,1024,1.638002,3.603604,10.892711,83.865684,15.9947984395319
"431000-4",201,431000,4,1173,521,1173,63,1110,1095,1024,16,2,52,0,1,15,940,51,889,881,828,9,2,41,0,1,8,521,507,14,6972551.298034,123984,340000,1201,31,15,96.311147,2.485966,1.202887,0,65,132,720,0,7.088332,14.394766,78.516903,2.68714011516315
"431101-1",201,431101,1,680,412,680,31,649,642,601,6,0,32,0,3,7,658,30,628,621,583,6,0,31,0,1,7,412,391,21,3435451.235413,106932,319500,559,55,142,73.941799,7.275132,18.783069,0,78,148,530,0,10.31746,19.57672,70.10582,5.09708737864078
"431101-2",201,431101,2,1643,1136,1643,523,1120,1069,407,519,0,129,0,14,51,1421,412,1009,967,380,463,0,110,0,14,42,1136,954,182,3596601.602354,40313,NA,736,52,171,76.746611,5.422315,17.831074,18,74,196,329,2.917342,11.993517,31.766613,53.322528,16.0211267605634
"431101-3",201,431101,3,980,726,980,166,814,778,655,56,2,63,1,1,36,898,148,750,724,616,50,2,54,1,1,26,726,632,94,1983967.024292,68603,92300,646,62,138,76.359338,7.328605,16.312057,0,51,331,369,0,6.790945,44.074567,49.134487,12.9476584022039
"431102-1",201,431102,1,1899,1195,1899,413,1486,1444,787,513,7,127,0,10,42,1614,313,1301,1268,721,412,7,119,0,9,33,1195,1032,163,4600296.505894,44006,1000001,1029,186,77,79.643963,14.396285,5.959752,39,72,482,531,3.469751,6.405694,42.882562,47.241993,13.6401673640167
"431102-2",201,431102,2,1437,1067,1437,191,1246,1224,876,119,2,215,0,12,22,1335,172,1163,1144,823,114,2,199,0,6,19,1067,968,99,5588858.505619,67263,169400,713,271,390,51.892285,19.723435,28.384279,16,132,228,818,1.340034,11.055276,19.095477,68.509213,9.27835051546392
"431201-1",201,431201,1,1468,946,1468,216,1252,1223,809,179,2,232,0,1,29,1339,184,1155,1133,778,151,1,202,0,1,22,946,860,86,4598065.595594,71979,193500,896,215,371,60.458839,14.507422,25.033738,31,61,364,895,2.294597,4.515174,26.943005,66.247224,9.09090909090909
"431201-2",201,431201,2,2590,1533,2590,821,1769,1684,942,450,3,276,0,13,85,2202,628,1574,1509,851,395,0,250,0,13,65,1533,1403,130,2615590.503,40330,NA,1601,480,328,66.459112,19.92528,13.615608,91,506,508,699,5.044346,28.04878,28.159645,38.747228,8.48010437051533
"431202-1",201,431202,1,1773,1054,1773,467,1306,1260,778,313,4,157,0,8,46,1473,367,1106,1078,682,252,4,135,0,5,28,1054,918,136,4939449.530325,55069,69700,1337,247,262,72.426869,13.380282,14.192849,58,286,403,661,4.119318,20.3125,28.622159,46.946023,12.9032258064516
"431202-2",201,431202,2,528,283,528,55,473,469,440,14,0,13,0,2,4,419,47,372,370,343,12,0,13,0,2,2,283,263,20,3890943.92486,99653,190900,497,0,39,92.723881,0,7.276119,13,0,73,362,2.901786,0,16.294643,80.803571,7.06713780918728
"431202-3",201,431202,3,618,311,618,45,573,568,541,2,2,22,1,0,5,532,31,501,499,476,2,2,18,1,0,2,311,297,14,2334354.234868,73850,294800,636,0,0,100,0,0,0,27,124,340,0,5.498982,25.254582,69.246436,4.5016077170418
"431202-4",201,431202,4,1673,1157,1673,317,1356,1325,639,205,6,474,0,1,31,1477,279,1198,1172,590,190,5,386,0,1,26,1157,1005,152,2969014.772224,58099,149500,754,373,432,48.364336,23.925593,27.710071,54,223,240,769,4.199067,17.340591,18.662519,59.797823,13.1374243733794
"431301-1",201,431301,1,1580,1018,1580,420,1160,1121,757,213,5,144,0,2,39,1366,335,1031,1003,693,180,5,123,0,2,28,1018,900,118,2984789.930285,39780,119100,654,253,428,48.988764,18.951311,32.059925,48,326,228,502,4.347826,29.528986,20.652174,45.471014,11.5913555992141
"431301-2",201,431301,2,1190,821,1190,354,836,809,541,155,3,102,0,8,27,1036,296,740,720,506,123,3,80,0,8,20,821,753,68,2575429.950731,39453,79400,936,177,246,68.874172,13.024283,18.101545,93,103,395,598,7.821699,8.662742,33.221194,50.294365,8.28258221680877
"431301-3",201,431301,3,1746,1059,1746,520,1226,1190,840,205,7,131,1,6,36,1509,418,1091,1063,777,166,4,110,0,6,28,1059,977,82,2550853.060893,45152,171000,674,307,150,59.59328,27.14412,13.262599,71,53,405,440,7.327141,5.469556,41.795666,45.407637,7.74315391879131
"431302-1",201,431302,1,1446,970,1446,201,1245,1206,993,77,0,133,0,3,39,1255,155,1100,1073,891,64,0,116,0,2,27,970,816,154,3892779.935315,72770,350700,920,161,138,75.471698,13.207547,11.320755,10,109,374,599,0.915751,9.981685,34.249084,54.85348,15.8762886597938
"431302-2",201,431302,2,1512,622,1512,150,1362,1355,1302,20,1,23,0,9,7,1039,100,939,934,888,17,1,20,0,8,5,622,593,29,6301980.954337,130500,446900,1188,441,42,71.095153,26.391382,2.513465,22,106,183,955,1.737757,8.372828,14.454976,75.434439,4.66237942122186
"431302-3",201,431302,3,971,412,971,61,910,899,840,18,0,41,0,0,11,698,41,657,648,612,12,0,24,0,0,9,412,384,28,4088194.322883,141838,481800,533,83,98,74.64986,11.62465,13.72549,0,29,74,471,0,5.052265,12.891986,82.055749,6.79611650485437
"431401-1",201,431401,1,1281,982,1281,271,1010,980,784,70,1,118,3,4,30,1147,218,929,901,731,62,1,104,3,0,28,982,833,149,2353294.386076,59345,108600,967,347,202,63.78628,22.889182,13.324538,30,190,331,651,2.49584,15.806988,27.537438,54.159734,15.173116089613
"431401-2",201,431401,2,1058,771,1058,268,790,769,578,82,2,102,1,4,21,933,222,711,695,537,66,2,85,1,4,16,771,671,100,1541883.973423,52336,216700,763,20,37,93.04878,2.439024,4.512195,14,11,335,424,1.785714,1.403061,42.729592,54.081633,12.970168612192
"431402-1",201,431402,1,1870,1435,1870,246,1624,1577,1229,105,2,231,0,10,47,1738,223,1515,1474,1174,91,2,200,0,7,41,1435,1276,159,4112803.338093,69271,126800,1593,336,424,67.700807,14.279643,18.01955,20,131,357,1390,1.053741,6.902002,18.809273,73.234984,11.0801393728223
"431402-2",201,431402,2,1339,921,1339,199,1140,1114,864,75,0,168,0,7,26,1219,170,1049,1026,817,66,0,137,0,6,23,921,799,122,3602614.091592,72278,167900,773,55,196,75.488281,5.371094,19.140625,21,15,233,635,2.323009,1.659292,25.774336,70.243363,13.2464712269273
"431501-1",201,431501,1,894,732,894,103,791,781,712,19,1,49,0,0,10,830,90,740,731,670,16,1,44,0,0,9,732,619,113,3491506.842976,75963,149400,817,50,161,79.474708,4.863813,15.661479,0,175,147,563,0,19.774011,16.610169,63.615819,15.4371584699454
"431501-2",201,431501,2,1515,1153,1515,168,1347,1323,1191,23,4,101,2,2,24,1387,152,1235,1217,1099,22,3,89,2,2,18,1153,1021,132,3425344.343175,81585,189800,1079,222,99,77.071429,15.857143,7.071429,0,113,255,878,0,9.069021,20.46549,70.46549,11.448395490026
"431501-3",201,431501,3,1302,898,1302,153,1149,1116,892,44,1,173,0,6,33,1164,128,1036,1014,828,39,1,142,0,4,22,898,823,75,4274684.198538,78924,166500,761,184,165,68.558559,16.576577,14.864865,16,14,228,747,1.59204,1.393035,22.686567,74.328358,8.35189309576838
"431502-1",201,431502,1,1138,837,1138,161,977,954,795,31,1,126,0,1,23,1056,137,919,901,761,28,1,110,0,1,18,837,747,90,3308549.307611,84688,592900,673,218,284,57.276596,18.553191,24.170213,45,113,157,740,4.265403,10.7109,14.881517,70.14218,10.752688172043
"431502-2",201,431502,2,1036,644,1036,71,965,951,862,12,1,73,0,3,14,942,60,882,874,801,8,1,63,0,1,8,644,601,43,2842216.523438,74776,342100,648,77,129,75.87822,9.016393,15.105386,12,92,263,476,1.423488,10.913405,31.198102,56.465006,6.67701863354037
"431502-3",201,431502,3,1297,472,1297,78,1219,1214,1161,4,0,49,0,0,5,869,42,827,824,791,2,0,31,0,0,3,472,448,24,5816462.154218,172404,616700,940,24,21,95.431472,2.436548,2.13198,0,23,178,615,0,2.818627,21.813725,75.367647,5.08474576271186
"431600-1",201,431600,1,1050,458,1050,66,984,983,951,9,1,22,0,0,1,874,44,830,829,804,6,1,18,0,0,1,458,438,20,9372423.039871,208000,927000,741,111,95,78.247096,11.721225,10.031679,15,46,97,662,1.829268,5.609756,11.829268,80.731707,4.36681222707424
"431600-2",201,431600,2,959,583,959,52,907,904,874,10,2,14,0,4,3,814,48,766,764,736,10,2,14,0,2,2,583,504,79,6166344.704719,133875,1000001,890,32,28,93.684211,3.368421,2.947368,0,22,113,577,0,3.089888,15.870787,81.039326,13.5506003430532
"431600-3",201,431600,3,1343,703,1343,106,1237,1216,1156,22,9,25,0,4,21,1156,88,1068,1054,1006,21,5,19,0,3,14,703,639,64,16201950.694613,105156,525000,1176,113,97,84.848485,8.152958,6.998557,45,71,230,787,3.971756,6.266549,20.300088,69.461606,9.10384068278805
"431700-1",201,431700,1,1597,838,1597,148,1449,1419,1321,31,0,67,0,0,30,1315,105,1210,1189,1112,24,0,53,0,0,21,838,718,120,9853544.633711,207708,662700,1566,93,96,89.230769,5.299145,5.470085,55,138,281,930,3.917379,9.82906,20.014245,66.239316,14.3198090692124
"431700-2",201,431700,2,1734,1189,1734,166,1568,1542,1396,58,0,87,0,1,26,1594,135,1459,1439,1313,50,0,75,0,1,20,1189,991,198,10756715.909967,122669,595700,1286,96,115,85.905144,6.412826,7.682031,0,101,329,928,0,7.437408,24.226804,68.335788,16.6526492851135
"431700-3",201,431700,3,1260,601,1260,58,1202,1183,1128,1,1,53,0,0,19,1027,42,985,977,933,1,1,42,0,0,8,601,532,69,11513265.18217,185125,1000001,983,17,99,89.44495,1.546861,9.008189,0,10,266,692,0,1.033058,27.479339,71.487603,11.4808652246256
"431801-1",201,431801,1,725,408,725,40,685,676,626,7,0,42,0,1,9,646,33,613,608,569,7,0,31,0,1,5,408,376,32,5513319.086933,118235,372000,549,12,155,76.675978,1.675978,21.648045,9,41,131,420,1.497504,6.821963,21.797005,69.883527,7.84313725490196
"431801-2",201,431801,2,1073,652,1073,113,960,945,440,34,3,460,0,8,15,882,96,786,772,352,32,0,380,0,8,14,652,536,116,3287080.195364,59500,NA,337,44,280,50.983359,6.656581,42.360061,8,126,48,427,1.313629,20.689655,7.881773,70.114943,17.7914110429448
"431801-3",201,431801,3,1169,744,1169,161,1008,986,833,35,2,114,0,2,22,1010,137,873,859,726,32,1,99,0,1,14,744,679,65,4376023.810024,72159,443400,758,213,100,70.774977,19.887955,9.337068,0,160,176,615,0,16.824395,18.506835,64.66877,8.73655913978495
"431802-1",201,431802,1,1303,1088,1303,160,1143,1128,900,77,2,145,0,4,15,1244,145,1099,1087,866,73,2,142,0,4,12,1088,912,176,3847484.974952,64896,531300,591,77,86,78.381963,10.212202,11.405836,13,0,244,393,2,0,37.538462,60.461538,16.1764705882353
"431802-2",201,431802,2,2392,1969,2392,470,1922,1863,1346,160,8,336,1,12,59,2131,401,1730,1684,1218,138,7,312,1,8,46,1969,1473,496,10823741.928543,81413,261500,1192,588,376,55.28757,27.272727,17.439703,26,107,440,1156,1.503759,6.188548,25.448236,66.859456,25.1904520060945
"431900-1",201,431900,1,738,667,738,83,655,643,563,30,0,48,2,0,12,707,76,631,621,545,28,0,46,2,0,10,667,505,162,6710927.185136,88229,149000,426,0,43,90.831557,0,9.168443,13,60,93,276,2.941176,13.574661,21.040724,62.443439,24.287856071964
"431900-2",201,431900,2,3048,2309,3048,551,2497,2446,1673,270,2,492,0,9,51,2850,506,2344,2306,1601,247,2,447,0,9,38,2309,1974,335,7069495.434985,74973,274600,1692,333,568,65.252603,12.842268,21.905129,82,188,587,1460,3.539059,8.11394,25.334484,63.012516,14.5084452143785
"432001-1",201,432001,1,1655,1201,1655,588,1067,1042,566,343,0,124,2,7,25,1453,477,976,954,521,318,0,107,2,6,22,1201,993,208,3859654.159338,40089,NA,728,240,223,61.125105,20.151134,18.723762,55,112,469,338,5.646817,11.498973,48.151951,34.702259,17.3189009159034
"432001-2",201,432001,2,1809,891,1809,317,1492,1449,1005,86,0,344,0,14,43,1450,232,1218,1193,858,62,0,264,0,9,25,891,787,104,11645623.690608,118523,458600,747,319,440,49.601594,21.181939,29.216467,26,49,344,735,2.253033,4.246101,29.809359,63.691508,11.672278338945
"432002-1",201,432002,1,1262,681,1262,792,470,457,150,269,0,38,0,0,13,1011,617,394,382,111,234,0,37,0,0,12,681,541,140,2659431.155941,26800,NA,389,966,70,27.298246,67.789474,4.912281,469,228,220,110,45.666991,22.200584,21.421616,10.710808,20.5580029368576
"432002-2",201,432002,2,1532,987,1532,935,597,564,241,258,7,48,1,9,33,1330,780,550,519,222,237,5,46,1,8,31,987,795,192,2433214.315895,22419,NA,640,584,235,43.865661,40.027416,16.106923,342,186,397,278,28.428928,15.461347,33.000831,23.108894,19.4528875379939
"432002-3",201,432002,3,1940,1116,1940,842,1098,1039,603,281,3,149,0,3,59,1611,628,983,936,551,253,2,128,0,2,47,1116,1007,109,2494627.053576,37386,94800,695,385,218,53.543914,29.661017,16.795069,60,244,434,306,5.747126,23.371648,41.570881,29.310345,9.76702508960573
"432100-1",201,432100,1,2167,1291,2167,852,1315,1270,513,532,6,208,0,11,45,1820,671,1149,1118,463,461,5,182,0,7,31,1291,1145,146,6171477.579321,40126,NA,1347,328,219,71.119324,17.317846,11.56283,103,261,322,530,8.470395,21.463816,26.480263,43.585526,11.3090627420604
"432100-2",201,432100,2,2221,909,2221,1064,1157,1100,417,363,7,304,2,7,57,1756,796,960,914,349,304,3,252,2,4,46,909,867,42,6792736.45137,40625,220000,997,756,151,52.363445,39.705882,7.930672,547,269,329,289,38.145049,18.758717,22.942817,20.153417,4.62046204620462
"432100-3",201,432100,3,666,287,666,47,619,602,557,7,3,35,0,0,17,522,37,485,474,435,6,1,32,0,0,11,287,274,13,4292688.506303,226250,257100,332,75,56,71.706263,16.198704,12.095032,8,26,4,324,2.209945,7.18232,1.104972,89.502762,4.52961672473868
"432200-1",201,432200,1,986,467,986,200,786,762,655,41,2,64,0,0,24,816,154,662,648,561,30,2,55,0,0,14,467,442,25,6747541.249393,72639,179200,654,264,10,70.474138,28.448276,1.077586,79,174,159,313,10.896552,24,21.931034,43.172414,5.35331905781585
"432200-2",201,432200,2,669,360,669,127,542,536,409,74,0,53,0,0,6,570,100,470,466,358,62,0,46,0,0,4,360,330,30,5176159.354041,60000,158900,397,91,57,72.844037,16.697248,10.458716,30,137,165,172,5.952381,27.18254,32.738095,34.126984,8.33333333333333
"432200-3",201,432200,3,2388,1278,2388,1074,1314,1274,506,573,2,190,0,3,40,1958,829,1129,1096,455,464,2,172,0,3,33,1278,1166,112,6097338.297633,33355,89800,920,934,749,35.343834,35.881675,28.774491,574,378,484,584,28.415842,18.712871,23.960396,28.910891,8.76369327073552
"432300-1",201,432300,1,1865,1014,1865,685,1180,1151,324,702,5,114,0,6,29,1445,503,942,926,292,525,4,99,0,6,16,1014,911,103,3305698.429799,42087,130500,1248,342,133,72.431805,19.8491,7.719095,70,199,584,295,6.097561,17.334495,50.87108,25.696864,10.1577909270217
