"","COUNTY","TRACT","BLKGRP","SUM_POP100","SUM_HU100","SUM_TotPop","SUM_HispPo","SUM_NonHis","SUM_NHOneR","SUM_NH_Whi","SUM_NH_Bla","SUM_NH_AmI","SUM_NH_Asi","SUM_NH_Haw","SUM_NH_Oth","SUM_NH_2or","SUM_VAP_To","SUM_VAP_Hi","SUM_VAP_No","SUM_VAP_NH","SUM_VAP__1","SUM_VAP__2","SUM_VAP__3","SUM_VAP__4","SUM_VAP_Ha","SUM_VAP__5","SUM_VAP__6","SUM_TotHou","SUM_OccHU","SUM_Vacant","Shapearea","Median_HHI","Median_House_Value","Only_English","Only_Spanish","Other_Languages","Percent_Only_English","Percent_Only_Spanish","Percent_Other_Languages","No_HS","HS_Graduate","Some_College","BS_and_Higher","Percent_No_HS","Percent_HS_Graduate","Percent_Some_College","Percent_BS_and_Higher","Vac_Rate"
"210400-3",201,210400,3,2557,895,2557,1775,782,771,108,646,3,11,0,3,11,1629,1221,408,406,87,306,3,7,0,3,2,895,824,71,6189537.318443,24552,98700,524,1774,0,22.802437,77.197563,0,752,390,330,26,50.200267,26.034713,22.029372,1.735648,7.93296089385475
"210400-4",201,210400,4,1064,308,1064,707,357,350,187,151,3,9,0,0,7,837,502,335,329,173,145,3,8,0,0,6,308,269,39,7481117.103042,29554,121700,170,431,0,28.28619,71.71381,0,196,56,63,93,48.039216,13.72549,15.441176,22.794118,12.6623376623377
"210500-1",201,210500,1,1399,486,1399,1317,82,80,55,24,0,1,0,0,2,1005,932,73,71,50,20,0,1,0,0,2,486,432,54,6256493.884455,36331,89500,198,1181,0,14.358231,85.641769,0,407,201,96,64,52.994792,26.171875,12.5,8.333333,11.1111111111111
"210500-2",201,210500,2,1838,653,1838,1425,413,410,67,332,4,4,0,3,3,1291,963,328,326,56,261,4,4,0,1,2,653,560,93,7093481.763761,29231,86700,594,929,29,38.273196,59.858247,1.868557,440,288,222,25,45.128205,29.538462,22.769231,2.564103,14.2419601837672
"210500-3",201,210500,3,1645,554,1645,1354,291,287,103,179,2,1,0,2,4,1178,968,210,208,89,114,2,1,0,2,2,554,512,42,9808644.233281,22227,90000,437,981,0,30.818054,69.181946,0,409,266,177,64,44.650655,29.039301,19.323144,6.9869,7.5812274368231
"210600-1",201,210600,1,859,323,859,685,174,171,154,11,3,3,0,0,3,632,476,156,153,142,5,3,3,0,0,3,323,295,28,4486969.291387,31522,126000,126,471,0,21.105528,78.894472,0,165,118,80,81,37.162162,26.576577,18.018018,18.243243,8.6687306501548
"210600-2",201,210600,2,1243,605,1243,881,362,350,310,27,2,10,0,1,12,1011,683,328,319,282,25,2,9,0,1,9,605,519,86,6103385.293875,60056,157000,566,531,0,51.59526,48.40474,0,135,204,231,231,16.853933,25.468165,28.838951,28.838951,14.2148760330579
"210600-3",201,210600,3,1714,675,1714,1442,272,260,214,29,3,9,1,4,12,1315,1068,247,237,192,28,3,9,1,4,10,675,635,40,6847033.779511,47212,131100,460,1001,28,30.893217,67.226326,1.880457,432,435,242,84,36.211232,36.462699,20.284996,7.041073,5.92592592592593
"210600-4",201,210600,4,1681,656,1681,1370,311,308,257,29,6,14,0,2,3,1251,977,274,271,235,17,5,12,0,2,3,656,588,68,7678553.020023,29270,129400,546,1544,46,25.561798,72.284644,2.153558,600,384,296,201,40.513167,25.928427,19.986496,13.571911,10.3658536585366
"210700-1",201,210700,1,733,250,733,573,160,156,25,127,2,1,0,1,4,530,398,132,130,22,104,2,1,0,1,2,250,217,33,3662891.279522,33571,100600,225,342,7,39.198606,59.581882,1.219512,176,57,86,37,49.438202,16.011236,24.157303,10.393258,13.2
"210700-2",201,210700,2,959,330,959,701,258,252,34,215,0,1,2,0,6,662,465,197,194,25,166,0,1,2,0,3,330,292,38,5902278.882202,30192,85000,404,448,12,46.759259,51.851852,1.388889,349,191,93,38,52.011922,28.464978,13.859911,5.663189,11.5151515151515
"210700-3",201,210700,3,793,285,793,617,176,175,26,147,1,1,0,0,1,569,425,144,143,23,118,1,1,0,0,1,285,245,40,2614396.699586,56029,80400,78,321,0,19.548872,80.451128,0,158,58,14,18,63.709677,23.387097,5.645161,7.258065,14.0350877192982
"210800-1",201,210800,1,1382,556,1382,730,652,649,36,608,0,0,0,5,3,954,434,520,517,25,491,0,0,0,1,3,556,460,96,32884219.265844,17250,63900,451,153,0,74.668874,25.331126,0,234,65,106,54,50.980392,14.16122,23.093682,11.764706,17.2661870503597
"210800-2",201,210800,2,1371,550,1371,998,373,364,15,345,3,1,0,0,9,993,679,314,307,12,293,1,1,0,0,7,550,431,119,6487762.750528,19091,65800,310,1157,13,20.945946,78.175676,0.878378,436,281,97,49,50.521437,32.560834,11.239861,5.677868,21.6363636363636
"210900-1",201,210900,1,983,438,983,257,726,721,28,672,2,19,0,0,5,760,159,601,598,26,552,2,18,0,0,3,438,351,87,8177626.188559,19966,73500,719,345,54,64.31127,30.858676,4.830054,179,333,129,82,24.757953,46.058091,17.842324,11.341632,19.8630136986301
"210900-2",201,210900,2,637,293,637,105,532,532,7,523,1,1,0,0,0,487,62,425,425,5,419,1,0,0,0,0,293,247,46,5418620.672869,49667,49600,518,14,111,80.559876,2.177294,17.26283,58,289,50,91,11.885246,59.221311,10.245902,18.647541,15.6996587030717
"211000-1",201,211000,1,856,382,856,215,641,634,9,605,1,14,0,5,7,641,133,508,503,7,486,1,6,0,3,5,382,328,54,5416209.638028,12456,50100,564,139,11,78.991597,19.467787,1.540616,254,155,91,51,46.098004,28.130671,16.515426,9.255898,14.1361256544503
"211000-2",201,211000,2,1183,511,1183,355,828,822,29,782,1,9,0,1,6,886,229,657,653,28,617,1,6,0,1,4,511,449,62,6666462.729344,14830,32700,597,65,0,90.181269,9.818731,0,224,267,63,0,40.433213,48.194946,11.371841,0,12.133072407045
"211100-1",201,211100,1,1374,605,1374,467,907,902,21,872,3,0,5,1,5,1017,292,725,723,16,700,3,0,3,1,2,605,499,106,6892858.916539,14874,37200,881,624,21,57.732634,40.891219,1.376147,590,192,158,30,60.824742,19.793814,16.28866,3.092783,17.5206611570248
"211100-2",201,211100,2,788,290,788,438,350,346,8,338,0,0,0,0,4,529,272,257,253,7,246,0,0,0,0,4,290,240,50,3307563.089426,15410,65000,352,559,0,38.638858,61.361142,0,212,208,45,0,45.591398,44.731183,9.677419,0,17.2413793103448
"211100-3",201,211100,3,865,367,865,377,488,481,2,473,0,6,0,0,7,638,237,401,398,2,390,0,6,0,0,3,367,298,69,6240146.978755,13889,62700,437,200,0,68.602826,31.397174,0,268,194,42,0,53.174603,38.492063,8.333333,0,18.8010899182561
"211100-4",201,211100,4,802,286,802,656,146,144,2,142,0,0,0,0,2,579,466,113,112,2,110,0,0,0,0,1,286,248,38,2675881.957698,28780,60300,303,556,0,35.273574,64.726426,0,289,200,18,38,53.027523,36.697248,3.302752,6.972477,13.2867132867133
