OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1, Median_HHI ,No_HS,HS_Graduate,Some_College,BS_and_Higher,Shapearea,Shapelen,Percent_No_HS,Percent_HS_Graduate,Percent_Some_College,Percent_BS_and_Higher,% No HS
1183,1183,48,201,452700,2,621,179,621,288,333,331,37,132,1,160,0,1,2,437,193,244,244,29,83,1,130,0,1,0,179,170,9,4.82015E+11,15000US482014527002,4.82015E+11," 52,232 ",454,439,491,418,4166378.219,9039.318256, 25 ,24.36182,27.247503,23.196448,25.2%
707,707,48,201,341000,1,1601,857,1601,345,1256,1211,923,172,6,108,0,2,45,1306,253,1053,1023,787,142,5,87,0,2,30,857,801,56,4.82013E+11,15000US482013410001,4.82013E+11," 52,284 ",106,253,482,371,3982201.899,8224.400964, 9 ,20.874587,39.768977,30.610561,8.7%
996,996,48,201,431401,2,1058,771,1058,268,790,769,578,82,2,102,1,4,21,933,222,711,695,537,66,2,85,1,4,16,771,671,100,4.82014E+11,15000US482014314012,4.82014E+11," 52,336 ",14,11,335,424,1541883.973,5174.303557, 2 ,1.403061,42.729592,54.081633,1.8%
954,954,48,201,423402,2,1371,538,1371,248,1123,1101,82,965,0,52,0,2,22,1007,154,853,840,80,711,0,49,0,0,13,538,518,20,4.82014E+11,15000US482014234022,4.82014E+11," 52,357 ",82,195,377,304,5194241.208,8987.082278, 9 ,20.354906,39.352818,31.732777,8.6%
15,15,48,157,670400,2,1052,378,1052,148,904,894,7,883,0,0,0,4,10,757,97,660,654,6,648,0,0,0,0,6,378,349,29,4.81577E+11,15000US481576704002,4.81577E+11," 52,375 ",98,174,356,133,6660212.155,10813.02185, 13 ,22.864652,46.780552,17.477004,12.9%
1549,1549,48,201,543200,2,1746,982,1746,336,1410,1388,777,116,3,491,1,0,22,1455,271,1184,1166,660,90,3,412,1,0,18,982,849,133,4.82015E+11,15000US482015432002,4.82015E+11," 52,377 ",70,155,262,634,376915910.1,78733.33522, 6 ,13.82694,23.371989,56.556646,6.2%
648,648,48,201,333300,3,2003,580,2003,1627,376,359,139,100,0,118,0,2,17,1360,1057,303,287,122,70,0,95,0,0,16,580,543,37,4.82013E+11,15000US482013333003,4.82013E+11," 52,500 ",413,450,136,98,25461759,25564.89275, 38 ,41.020966,12.397448,8.933455,37.6%
674,674,48,201,334100,1,1147,368,1147,369,778,772,24,741,1,6,0,0,6,837,227,610,607,22,578,1,6,0,0,3,368,351,17,4.82013E+11,15000US482013341001,4.82013E+11," 52,500 ",206,253,173,163,4606903.34,10681.40734, 26 ,31.823899,21.761006,20.503145,25.9%
1514,1514,48,201,540902,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+11,15000US482015409022,4.82015E+11," 52,583 ",70,230,294,303,629471.5912,11391.20949, 8 ,25.641026,32.77592,33.779264,7.8%
1529,1529,48,201,541800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+11,15000US482015418002,4.82015E+11," 52,601 ",263,379,337,264,1745965.919,14227.28306, 21 ,30.490748,27.111826,21.238938,21.2%
1138,1138,48,201,451401,2,1787,911,1787,456,1331,1307,765,407,0,126,0,9,24,1398,321,1077,1061,644,307,0,105,0,5,16,911,870,41,4.82015E+11,15000US482014514012,4.82015E+11," 52,656 ",23,345,193,451,5717116.099,14099.83423, 2 ,34.090909,19.071146,44.565217,2.3%
1422,1422,48,201,531400,1,2053,1015,2053,788,1265,1240,1161,39,4,36,0,0,25,1683,547,1136,1118,1051,32,4,31,0,0,18,1015,964,51,4.82015E+11,15000US482015314001,4.82015E+11," 52,723 ",372,227,641,497,11463194.12,18186.70155, 21 ,13.068509,36.902706,28.61255,21.4%
